username,repo_name,stars,repo_url
bitcoin,bitcoin,61500,https://github.com/bitcoin/bitcoin
syncthing,syncthing,42700,https://github.com/syncthing/syncthing
ethereum,go-ethereum,35100,https://github.com/ethereum/go-ethereum
webtorrent,webtorrent,25800,https://github.com/webtorrent/webtorrent
ipfs,ipfs,20300,https://github.com/ipfs/ipfs
HelloZeroNet,ZeroNet,17300,https://github.com/HelloZeroNet/ZeroNet
amark,gun,15400,https://github.com/amark/gun
Chocobozzz,PeerTube,10200,https://github.com/Chocobozzz/PeerTube
peers,peerjs,10000,https://github.com/peers/peerjs
pion,webrtc,8700,https://github.com/pion/webrtc
webtorrent,webtorrent-desktop,8700,https://github.com/webtorrent/webtorrent-desktop
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
monero-project,monero,6600,https://github.com/monero-project/monero
orbitdb,orbit-db,6600,https://github.com/orbitdb/orbit-db
yjs,yjs,6500,https://github.com/yjs/yjs
beakerbrowser,beaker,6400,https://github.com/beakerbrowser/beaker
ipfs,js-ipfs,6300,https://github.com/ipfs/js-ipfs
feross,simple-peer,6000,https://github.com/feross/simple-peer
dragonflyoss,Dragonfly,5700,https://github.com/dragonflyoss/Dragonfly
berty,berty,5200,https://github.com/berty/berty
uber,kraken,4900,https://github.com/uber/kraken
libp2p,go-libp2p,4200,https://github.com/libp2p/go-libp2p
anacrolix,torrent,4200,https://github.com/anacrolix/torrent
Tribler,tribler,4000,https://github.com/Tribler/tribler
qTox,qTox,3900,https://github.com/qTox/qTox
bisq-network,bisq,3900,https://github.com/bisq-network/bisq
ipfs,ipfs-desktop,3900,https://github.com/ipfs/ipfs-desktop
ssbc,patchwork,3500,https://github.com/ssbc/patchwork
webtorrent,instant.io,3000,https://github.com/webtorrent/instant.io
golemfactory,clay,3000,https://github.com/golemfactory/clay
