username,repo_name,stars,repo_url
laravel,laravel,68100,https://github.com/laravel/laravel
LeCoupa,awesome-cheatsheets,26600,https://github.com/LeCoupa/awesome-cheatsheets
symfony,symfony,26400,https://github.com/symfony/symfony
ziadoz,awesome-php,26200,https://github.com/ziadoz/awesome-php
composer,composer,26100,https://github.com/composer/composer
laravel,framework,26000,https://github.com/laravel/framework
guzzle,guzzle,21500,https://github.com/guzzle/guzzle
DesignPatternsPHP,DesignPatternsPHP,20300,https://github.com/DesignPatternsPHP/DesignPatternsPHP
Seldaek,monolog,19400,https://github.com/Seldaek/monolog
sebastianbergmann,phpunit,18200,https://github.com/sebastianbergmann/phpunit
bcit-ci,CodeIgniter,18200,https://github.com/bcit-ci/CodeIgniter
nextcloud,server,18100,https://github.com/nextcloud/server
PHPMailer,PHPMailer,17600,https://github.com/PHPMailer/PHPMailer
swoole,swoole-src,17200,https://github.com/swoole/swoole-src
facebook,hhvm,17200,https://github.com/facebook/hhvm
matomo-org,matomo,15900,https://github.com/matomo-org/matomo
monicahq,monica,15700,https://github.com/monicahq/monica
nikic,PHP-Parser,15200,https://github.com/nikic/PHP-Parser
erusev,parsedown,14000,https://github.com/erusev/parsedown
yiisoft,yii2,13900,https://github.com/yiisoft/yii2
getgrav,grav,13100,https://github.com/getgrav/grav
filp,whoops,12700,https://github.com/filp/whoops
CachetHQ,Cachet,12500,https://github.com/CachetHQ/Cachet
Intervention,image,12400,https://github.com/Intervention/image
flarum,flarum,12300,https://github.com/flarum/flarum
thephpleague,flysystem,12300,https://github.com/thephpleague/flysystem
phacility,phabricator,12200,https://github.com/phacility/phabricator
vlucas,phpdotenv,11700,https://github.com/vlucas/phpdotenv
ramsey,uuid,11500,https://github.com/ramsey/uuid
antlr,antlr4,11500,https://github.com/antlr/antlr4
