username,repo_name,stars,repo_url
kitao,pyxel,9400,https://github.com/kitao/pyxel
pico-8,awesome-PICO-8,2000,https://github.com/pico-8/awesome-PICO-8
picolove,picolove,543,https://github.com/picolove/picolove
dansanderson,picotool,282,https://github.com/dansanderson/picotool
Liquidream,scumm-8,249,https://github.com/Liquidream/scumm-8
torch2424,picoDeploy,184,https://github.com/torch2424/picoDeploy
jtothebell,fake-08,175,https://github.com/jtothebell/fake-08
Jakz,retro8,157,https://github.com/Jakz/retro8
0xcafed00d,tac08,142,https://github.com/0xcafed00d/tac08
Neko250,pico8-api,126,https://github.com/Neko250/pico8-api
seleb,PICO-8-Token-Optimizations,107,https://github.com/seleb/PICO-8-Token-Optimizations
egordorichev,neko8,93,https://github.com/egordorichev/neko8
gamax92,picolove,86,https://github.com/gamax92/picolove
movAX13h,P8Coder,85,https://github.com/movAX13h/P8Coder
Feneric,Minima,69,https://github.com/Feneric/Minima
JoebRogers,PICO-Tween,59,https://github.com/JoebRogers/PICO-Tween
juanitogan,p8-programming-fonts,56,https://github.com/juanitogan/p8-programming-fonts
jspicl,jspicl,55,https://github.com/jspicl/jspicl
freds72,pico8,54,https://github.com/freds72/pico8
andmatand,midi-to-pico8,53,https://github.com/andmatand/midi-to-pico8
gamax92,midi2pico,47,https://github.com/gamax92/midi2pico
musurca,pico2tic,41,https://github.com/musurca/pico2tic
ojdon,pico8-boilerplate,40,https://github.com/ojdon/pico8-boilerplate
NangiDev,pico-8-projects,39,https://github.com/NangiDev/pico-8-projects
Neko250,sublime-PICO-8,39,https://github.com/Neko250/sublime-PICO-8
Enichan,Pico8Platformer,38,https://github.com/Enichan/Pico8Platformer
cauli,picobox,38,https://github.com/cauli/picobox
JoebRogers,PICO-EC,36,https://github.com/JoebRogers/PICO-EC
jozanza,p8,36,https://github.com/jozanza/p8
jozanza,pico-test,29,https://github.com/jozanza/pico-test
