username,repo_name,stars,repo_url
angular,angular,79300,https://github.com/angular/angular
ionic-team,ionic-framework,46300,https://github.com/ionic-team/ionic-framework
hoppscotch,hoppscotch,36100,https://github.com/hoppscotch/hoppscotch
freeCodeCamp,devdocs,27600,https://github.com/freeCodeCamp/devdocs
GoogleChrome,lighthouse,24100,https://github.com/GoogleChrome/lighthouse
quasarframework,quasar,20400,https://github.com/quasarframework/quasar
pubkey,rxdb,16900,https://github.com/pubkey/rxdb
saleor,saleor,15000,https://github.com/saleor/saleor
qier222,YesPlayMusic,14400,https://github.com/qier222/YesPlayMusic
RobinLinus,snapdrop,10900,https://github.com/RobinLinus/snapdrop
ionic-team,stencil,10000,https://github.com/ionic-team/stencil
vuestorefront,vue-storefront,9200,https://github.com/vuestorefront/vue-storefront
aws-amplify,amplify-js,8600,https://github.com/aws-amplify/amplify-js
OnsenUI,OnsenUI,8500,https://github.com/OnsenUI/OnsenUI
alibaba,rax,7600,https://github.com/alibaba/rax
ionic-team,capacitor,6800,https://github.com/ionic-team/capacitor
maxence-charriere,go-app,5800,https://github.com/maxence-charriere/go-app
dailydotdev,daily,5400,https://github.com/dailydotdev/daily
andreasbm,web-skills,5300,https://github.com/andreasbm/web-skills
TalAter,UpUp,4800,https://github.com/TalAter/UpUp
preactjs,preact-cli,4500,https://github.com/preactjs/preact-cli
NekR,offline-plugin,4500,https://github.com/NekR/offline-plugin
assemble,assemble,4000,https://github.com/assemble/assemble
lauragift21,awesome-learning-resources,4000,https://github.com/lauragift21/awesome-learning-resources
angus-c,just,3900,https://github.com/angus-c/just
hemanth,awesome-pwa,3800,https://github.com/hemanth/awesome-pwa
mgechev,angular-performance-checklist,3800,https://github.com/mgechev/angular-performance-checklist
SangKa,PWA-Book-CN,3500,https://github.com/SangKa/PWA-Book-CN
webhintio,hint,3300,https://github.com/webhintio/hint
vuejs-templates,pwa,3000,https://github.com/vuejs-templates/pwa
