username,repo_name,stars,repo_url
yarnpkg,yarn,40400,https://github.com/yarnpkg/yarn
Homebrew,brew,30800,https://github.com/Homebrew/brew
composer,composer,26100,https://github.com/composer/composer
python-poetry,poetry,18100,https://github.com/python-poetry/poetry
microsoft,winget-cli,16200,https://github.com/microsoft/winget-cli
pnpm,pnpm,15100,https://github.com/pnpm/pnpm
bower,bower,15100,https://github.com/bower/bower
microsoft,vcpkg,14800,https://github.com/microsoft/vcpkg
Carthage,Carthage,14500,https://github.com/Carthage/Carthage
CocoaPods,CocoaPods,13600,https://github.com/CocoaPods/CocoaPods
golang,dep,13100,https://github.com/golang/dep
chocolatey,choco,8000,https://github.com/chocolatey/choco
rust-lang,cargo,7800,https://github.com/rust-lang/cargo
zsh-users,antigen,6900,https://github.com/zsh-users/antigen
ds300,patch-package,6300,https://github.com/ds300/patch-package
conan-io,conan,5600,https://github.com/conan-io/conan
NixOS,nix,5500,https://github.com/NixOS/nix
npm,cli,5400,https://github.com/npm/cli
volta-cli,volta,5100,https://github.com/volta-cli/volta
yarnpkg,berry,4600,https://github.com/yarnpkg/berry
xmake-io,xmake,4400,https://github.com/xmake-io/xmake
sindresorhus,awesome-npm,3900,https://github.com/sindresorhus/awesome-npm
gomods,athens,3800,https://github.com/gomods/athens
whalebrew,whalebrew,3400,https://github.com/whalebrew/whalebrew
rubygems,rubygems,2900,https://github.com/rubygems/rubygems
zkat,npx,2600,https://github.com/zkat/npx
Linuxbrew,brew,2600,https://github.com/Linuxbrew/brew
spack,spack,2500,https://github.com/spack/spack
luarocks,luarocks,2400,https://github.com/luarocks/luarocks
habitat-sh,habitat,2300,https://github.com/habitat-sh/habitat
