username,repo_name,stars,repo_url
gchq,CyberChef,15200,https://github.com/gchq/CyberChef
antlr,antlr4,11500,https://github.com/antlr/antlr4
samuelcolvin,pydantic,9000,https://github.com/samuelcolvin/pydantic
tree-sitter,tree-sitter,7600,https://github.com/tree-sitter/tree-sitter
jquery,esprima,6400,https://github.com/jquery/esprima
DoctorWkt,acwj,6000,https://github.com/DoctorWkt/acwj
curlconverter,curlconverter,5000,https://github.com/curlconverter/curlconverter
Leonidas-from-XIV,node-xml2js,4400,https://github.com/Leonidas-from-XIV/node-xml2js
marmelroy,PhoneNumberKit,4400,https://github.com/marmelroy/PhoneNumberKit
harc,ohm,4100,https://github.com/harc/ohm
estree,estree,3900,https://github.com/estree/estree
SBJson,SBJson,3800,https://github.com/SBJson/SBJson
troessner,reek,3700,https://github.com/troessner/reek
timofurrer,maya,3300,https://github.com/timofurrer/maya
kach,nearley,3100,https://github.com/kach/nearley
google,wuffs,3000,https://github.com/google/wuffs
pest-parser,pest,2900,https://github.com/pest-parser/pest
zserge,jsmn,2800,https://github.com/zserge/jsmn
lief-project,LIEF,2800,https://github.com/lief-project/LIEF
Jeffail,gabs,2600,https://github.com/Jeffail/gabs
dotnet,command-line-api,2500,https://github.com/dotnet/command-line-api
mono,CppSharp,2300,https://github.com/mono/CppSharp
Knetic,govaluate,2200,https://github.com/Knetic/govaluate
sjdirect,abot,2000,https://github.com/sjdirect/abot
taylorhakes,fecha,2000,https://github.com/taylorhakes/fecha
johnxnguyen,Down,1900,https://github.com/johnxnguyen/Down
Chevrotain,chevrotain,1800,https://github.com/Chevrotain/chevrotain
bradjasper,ImportJSON,1700,https://github.com/bradjasper/ImportJSON
dateutil,dateutil,1700,https://github.com/dateutil/dateutil
rubberduck-vba,Rubberduck,1500,https://github.com/rubberduck-vba/Rubberduck
