username,repo_name,stars,repo_url
learnbyexample,Command-line-text-processing,9800,https://github.com/learnbyexample/Command-line-text-processing
theos,theos,3700,https://github.com/theos/theos
kaitai-io,kaitai_struct,2800,https://github.com/kaitai-io/kaitai_struct
rsnapshot,rsnapshot,2400,https://github.com/rsnapshot/rsnapshot
weechat,weechat,2400,https://github.com/weechat/weechat
mojolicious,mojo,2300,https://github.com/mojolicious/mojo
imapsync,imapsync,2300,https://github.com/imapsync/imapsync
jfcoz,postgresqltuner,2200,https://github.com/jfcoz/postgresqltuner
apache,avro,2000,https://github.com/apache/avro
apache,activemq,2000,https://github.com/apache/activemq
Komodo,KomodoEdit,2000,https://github.com/Komodo/KomodoEdit
hexsum,Mojo-Webqq,1800,https://github.com/hexsum/Mojo-Webqq
munin-monitoring,munin,1600,https://github.com/munin-monitoring/munin
kaxap,arl,1600,https://github.com/kaxap/arl
beyondgrep,ack2,1500,https://github.com/beyondgrep/ack2
neurobin,shc,1300,https://github.com/neurobin/shc
exiftool,exiftool,1300,https://github.com/exiftool/exiftool
Perl,perl5,1300,https://github.com/Perl/perl5
htrgouvea,nipe,1200,https://github.com/htrgouvea/nipe
hexsum,Mojo-Weixin,1200,https://github.com/hexsum/Mojo-Weixin
OpenKore,openkore,1000,https://github.com/OpenKore/openkore
learnbyexample,scripting_course,997,https://github.com/learnbyexample/scripting_course
duckduckgo,zeroclickinfo-goodies,960,https://github.com/duckduckgo/zeroclickinfo-goodies
trizen,youtube-viewer,934,https://github.com/trizen/youtube-viewer
mikaku,Monitorix,913,https://github.com/mikaku/Monitorix
onelang,OneLang,890,https://github.com/onelang/OneLang
stark,Color-Scripts,872,https://github.com/stark/Color-Scripts
convos-chat,convos,866,https://github.com/convos-chat/convos
skx,sysadmin-util,854,https://github.com/skx/sysadmin-util
smxi,inxi,852,https://github.com/smxi/inxi
