username,repo_name,stars,repo_url
discourse,discourse,34900,https://github.com/discourse/discourse
metabase,metabase,27300,https://github.com/metabase/metabase
supabase,supabase,27300,https://github.com/supabase/supabase
typeorm,typeorm,27000,https://github.com/typeorm/typeorm
sequelize,sequelize,25600,https://github.com/sequelize/sequelize
dbeaver,dbeaver,24300,https://github.com/dbeaver/dbeaver
nocodb,nocodb,21800,https://github.com/nocodb/nocodb
getredash,redash,20400,https://github.com/getredash/redash
prisma,prisma,20200,https://github.com/prisma/prisma
PostgREST,postgrest,18300,https://github.com/PostgREST/postgrest
knex,knex,15300,https://github.com/knex/knex
apache,shardingsphere,15200,https://github.com/apache/shardingsphere
ty4z2008,Qix,13800,https://github.com/ty4z2008/Qix
directus,directus,13700,https://github.com/directus/directus
Tencent,APIJSON,12800,https://github.com/Tencent/APIJSON
NodeBB,NodeBB,12400,https://github.com/NodeBB/NodeBB
timescale,timescaledb,12400,https://github.com/timescale/timescaledb
baomidou,mybatis-plus,12300,https://github.com/baomidou/mybatis-plus
cube-js,cube.js,12300,https://github.com/cube-js/cube.js
graphile,postgraphile,11000,https://github.com/graphile/postgraphile
brianc,node-postgres,10200,https://github.com/brianc/node-postgres
dbcli,pgcli,10100,https://github.com/dbcli/pgcli
plausible,analytics,10000,https://github.com/plausible/analytics
benawad,dogehouse,9200,https://github.com/benawad/dogehouse
doctrine,dbal,8600,https://github.com/doctrine/dbal
beekeeper-studio,beekeeper-studio,8400,https://github.com/beekeeper-studio/beekeeper-studio
tiangolo,full-stack-fastapi-postgresql,8000,https://github.com/tiangolo/full-stack-fastapi-postgresql
questdb,questdb,7900,https://github.com/questdb/questdb
diesel-rs,diesel,7900,https://github.com/diesel-rs/diesel
dhamaniasad,awesome-postgres,7500,https://github.com/dhamaniasad/awesome-postgres
