username,repo_name,stars,repo_url
frappe,erpnext,10500,https://github.com/frappe/erpnext
mattermost,focalboard,9400,https://github.com/mattermost/focalboard
kanboard,kanboard,6400,https://github.com/kanboard/kanboard
opf,openproject,5400,https://github.com/opf/openproject
bbatsov,projectile,3500,https://github.com/bbatsov/projectile
taigaio,taiga-front,3500,https://github.com/taigaio/taiga-front
JordanKnott,taskcafe,2900,https://github.com/JordanKnott/taskcafe
boltpkg,bolt,2200,https://github.com/boltpkg/bolt
iluminar,goodwork,1700,https://github.com/iluminar/goodwork
dephell,dephell,1700,https://github.com/dephell/dephell
200ok-ch,organice,1600,https://github.com/200ok-ch/organice
a54552239,pearProject,1600,https://github.com/a54552239/pearProject
ONLYOFFICE,CommunityServer,1600,https://github.com/ONLYOFFICE/CommunityServer
lxerxa,actionview,1600,https://github.com/lxerxa/actionview
ixaxaar,awesome-engineering-management,1400,https://github.com/ixaxaar/awesome-engineering-management
alefragnani,vscode-project-manager,1200,https://github.com/alefragnani/vscode-project-manager
MyCollab,mycollab,1100,https://github.com/MyCollab/mycollab
chintanbanugaria,92five,1100,https://github.com/chintanbanugaria/92five
gopeak,masterlab,1000,https://github.com/gopeak/masterlab
Leantime,leantime,994,https://github.com/Leantime/leantime
neuronetio,gantt-elastic,984,https://github.com/neuronetio/gantt-elastic
aviaviavi,toodles,975,https://github.com/aviaviavi/toodles
easysoft,zentaopms,810,https://github.com/easysoft/zentaopms
kdeldycke,awesome-engineering-team-management,798,https://github.com/kdeldycke/awesome-engineering-team-management
DHTMLX,gantt,789,https://github.com/DHTMLX/gantt
workflowr,workflowr,678,https://github.com/workflowr/workflowr
modesttree,Projeny,671,https://github.com/modesttree/Projeny
bestpractical,rt,641,https://github.com/bestpractical/rt
bardsoftware,ganttproject,618,https://github.com/bardsoftware/ganttproject
pichillilorenzo,JavaScriptEnhancements,612,https://github.com/pichillilorenzo/JavaScriptEnhancements
