username,repo_name,stars,repo_url
TryGhost,Ghost,39500,https://github.com/TryGhost/Ghost
lerna,lerna,31500,https://github.com/lerna/lerna
jgm,pandoc,24600,https://github.com/jgm/pandoc
nteract,papermill,4500,https://github.com/nteract/papermill
Triple-T,gradle-play-publisher,3700,https://github.com/Triple-T/gradle-play-publisher
austintoddj,canvas,2900,https://github.com/austintoddj/canvas
substance,substance,2700,https://github.com/substance/substance
themsaid,wink,2600,https://github.com/themsaid/wink
writefreely,writefreely,2500,https://github.com/writefreely/writefreely
TryGhost,Casper,2300,https://github.com/TryGhost/Casper
timlrx,tailwind-nextjs-starter-blog,1900,https://github.com/timlrx/tailwind-nextjs-starter-blog
intuit,auto,1500,https://github.com/intuit/auto
w3c,epubcheck,1200,https://github.com/w3c/epubcheck
sile-typesetter,sile,1200,https://github.com/sile-typesetter/sile
openjournals,joss,986,https://github.com/openjournals/joss
substance,texture,971,https://github.com/substance/texture
javiereguiluz,easybook,747,https://github.com/javiereguiluz/easybook
elgohr,Publish-Docker-Github-Action,677,https://github.com/elgohr/Publish-Docker-Github-Action
vanniktech,gradle-maven-publish-plugin,647,https://github.com/vanniktech/gradle-maven-publish-plugin
Postleaf,postleaf,516,https://github.com/Postleaf/postleaf
FeatherCMS,feather,475,https://github.com/FeatherCMS/feather
morgan3d,markdeep,431,https://github.com/morgan3d/markdeep
PodcastGenerator,PodcastGenerator,410,https://github.com/PodcastGenerator/PodcastGenerator
pandoc-scholar,pandoc-scholar,391,https://github.com/pandoc-scholar/pandoc-scholar
mityalebedev,The-Shell,385,https://github.com/mityalebedev/The-Shell
TryGhost,Ghost-CLI,360,https://github.com/TryGhost/Ghost-CLI
pressbooks,pressbooks,354,https://github.com/pressbooks/pressbooks
manubot,rootstock,351,https://github.com/manubot/rootstock
wupdigital,android-maven-publish,315,https://github.com/wupdigital/android-maven-publish
kelyvin,caffeine-theme,310,https://github.com/kelyvin/caffeine-theme
