username,repo_name,stars,repo_url
tensorflow,tensorflow,163000,https://github.com/tensorflow/tensorflow
donnemartin,system-design-primer,160000,https://github.com/donnemartin/system-design-primer
CyC2018,CS-Notes,145000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,128000,https://github.com/TheAlgorithms/Python
vinta,awesome-python,115000,https://github.com/vinta/awesome-python
justjavac,free-programming-books-zh_CN,86700,https://github.com/justjavac/free-programming-books-zh_CN
nvbn,thefuck,66500,https://github.com/nvbn/thefuck
practical-tutorials,project-based-learning,62000,https://github.com/practical-tutorials/project-based-learning
django,django,62000,https://github.com/django/django
pallets,flask,57800,https://github.com/pallets/flask
huggingface,transformers,57500,https://github.com/huggingface/transformers
keras-team,keras,53800,https://github.com/keras-team/keras
pytorch,pytorch,53700,https://github.com/pytorch/pytorch
httpie,httpie,53600,https://github.com/httpie/httpie
521xueweihan,HelloGitHub,52000,https://github.com/521xueweihan/HelloGitHub
ansible,ansible,52000,https://github.com/ansible/ansible
home-assistant,core,49300,https://github.com/home-assistant/core
scikit-learn,scikit-learn,48800,https://github.com/scikit-learn/scikit-learn
psf,requests,46800,https://github.com/psf/requests
azl397985856,leetcode,46300,https://github.com/azl397985856/leetcode
apache,superset,44200,https://github.com/apache/superset
ageitgey,face_recognition,43000,https://github.com/ageitgey/face_recognition
scrapy,scrapy,42700,https://github.com/scrapy/scrapy
aymericdamien,TensorFlow-Examples,41600,https://github.com/aymericdamien/TensorFlow-Examples
tiangolo,fastapi,41200,https://github.com/tiangolo/fastapi
3b1b,manim,40500,https://github.com/3b1b/manim
localstack,localstack,38400,https://github.com/localstack/localstack
Textualize,rich,34400,https://github.com/Textualize/rich
Avik-Jain,100-Days-Of-ML-Code,34400,https://github.com/Avik-Jain/100-Days-Of-ML-Code
CorentinJ,Real-Time-Voice-Cloning,33000,https://github.com/CorentinJ/Real-Time-Voice-Cloning
