username,repo_name,stars,repo_url
flameshot-org,flameshot,16200,https://github.com/flameshot-org/flameshot
Swordfish90,cool-retro-term,15700,https://github.com/Swordfish90/cool-retro-term
matplotlib,matplotlib,14900,https://github.com/matplotlib/matplotlib
SFTtech,openage,10800,https://github.com/SFTtech/openage
PySimpleGUI,PySimpleGUI,9300,https://github.com/PySimpleGUI/PySimpleGUI
therecipe,qt,9000,https://github.com/therecipe/qt
mapeditor,tiled,8500,https://github.com/mapeditor/tiled
jopohl,urh,7900,https://github.com/jopohl/urh
qutebrowser,qutebrowser,7500,https://github.com/qutebrowser/qutebrowser
nodegui,nodegui,7400,https://github.com/nodegui/nodegui
spyder-ide,spyder,6800,https://github.com/spyder-ide/spyder
visualfc,liteide,6700,https://github.com/visualfc/liteide
musescore,MuseScore,6700,https://github.com/musescore/MuseScore
barry-ran,QtScrcpy,6100,https://github.com/barry-ran/QtScrcpy
nodegui,react-nodegui,5900,https://github.com/nodegui/react-nodegui
olive-editor,olive,5800,https://github.com/olive-editor/olive
mapbox,mapbox-gl-native,4100,https://github.com/mapbox/mapbox-gl-native
qTox,qTox,3900,https://github.com/qTox/qTox
clementine-player,Clementine,3100,https://github.com/clementine-player/Clementine
moonlight-stream,moonlight-qt,3000,https://github.com/moonlight-stream/moonlight-qt
r0x0r,pywebview,2700,https://github.com/r0x0r/pywebview
Bitmessage,PyBitmessage,2700,https://github.com/Bitmessage/PyBitmessage
LibreCAD,LibreCAD,2700,https://github.com/LibreCAD/LibreCAD
nodegui,svelte-nodegui,2600,https://github.com/nodegui/svelte-nodegui
mixxxdj,mixxx,2600,https://github.com/mixxxdj/mixxx
KDAB,hotspot,2500,https://github.com/KDAB/hotspot
pawelsalawa,sqlitestudio,2400,https://github.com/pawelsalawa/sqlitestudio
Serial-Studio,Serial-Studio,2300,https://github.com/Serial-Studio/Serial-Studio
vaibhavpandeyvpz,apkstudio,2300,https://github.com/vaibhavpandeyvpz/apkstudio
mavlink,qgroundcontrol,2100,https://github.com/mavlink/qgroundcontrol
