username,repo_name,stars,repo_url
apache,spark,31900,https://github.com/apache/spark
microsoft,ML-For-Beginners,28900,https://github.com/microsoft/ML-For-Beginners
oracle,graal,16500,https://github.com/oracle/graal
plotly,dash,15800,https://github.com/plotly/dash
facebook,prophet,14000,https://github.com/facebook/prophet
microsoft,LightGBM,13400,https://github.com/microsoft/LightGBM
FavioVazquez,ds-cheatsheets,9700,https://github.com/FavioVazquez/ds-cheatsheets
kanaka,mal,8400,https://github.com/kanaka/mal
catboost,catboost,6300,https://github.com/catboost/catboost
wowchemy,wowchemy-hugo-themes,6200,https://github.com/wowchemy/wowchemy-hugo-themes
h2oai,h2o-3,5700,https://github.com/h2oai/h2o-3
tidyverse,ggplot2,5200,https://github.com/tidyverse/ggplot2
Netflix,metaflow,5200,https://github.com/Netflix/metaflow
qinwf,awesome-R,4900,https://github.com/qinwf/awesome-R
rstudio,shiny,4600,https://github.com/rstudio/shiny
nteract,papermill,4500,https://github.com/nteract/papermill
tidyverse,dplyr,4000,https://github.com/tidyverse/dplyr
hadley,r4ds,3300,https://github.com/hadley/r4ds
jeroenjanssens,data-science-at-the-command-line,3200,https://github.com/jeroenjanssens/data-science-at-the-command-line
h2oai,wave,2800,https://github.com/h2oai/wave
thuquant,awesome-quant,2600,https://github.com/thuquant/awesome-quant
jphall663,awesome-machine-learning-interpretability,2500,https://github.com/jphall663/awesome-machine-learning-interpretability
ml-tooling,ml-workspace,2400,https://github.com/ml-tooling/ml-workspace
rstudio,rmarkdown,2400,https://github.com/rstudio/rmarkdown
microsoft,forecasting,2200,https://github.com/microsoft/forecasting
r-lib,devtools,2200,https://github.com/r-lib/devtools
yihui,knitr,2100,https://github.com/yihui/knitr
plotly,plotly.R,2100,https://github.com/plotly/plotly.R
SciML,DifferentialEquations.jl,2100,https://github.com/SciML/DifferentialEquations.jl
hadley,adv-r,2000,https://github.com/hadley/adv-r
