username,repo_name,stars,repo_url
httpie,httpie,53600,https://github.com/httpie/httpie
hoppscotch,hoppscotch,36100,https://github.com/hoppscotch/hoppscotch
hasura,graphql-engine,25300,https://github.com/hasura/graphql-engine
nocodb,nocodb,21800,https://github.com/nocodb/nocodb
swagger-api,swagger-ui,21500,https://github.com/swagger-api/swagger-ui
Kong,insomnia,19400,https://github.com/Kong/insomnia
parse-community,parse-server,19200,https://github.com/parse-community/parse-server
microsoft,api-guidelines,18500,https://github.com/microsoft/api-guidelines
gofiber,fiber,17900,https://github.com/gofiber/fiber
swagger-api,swagger-codegen,14000,https://github.com/swagger-api/swagger-codegen
grpc-ecosystem,grpc-gateway,12600,https://github.com/grpc-ecosystem/grpc-gateway
OpenAPITools,openapi-generator,11100,https://github.com/OpenAPITools/openapi-generator
go-chi,chi,10800,https://github.com/go-chi/chi
restify,node-restify,10400,https://github.com/restify/node-restify
r-spacex,SpaceX-API,9000,https://github.com/r-spacex/SpaceX-API
cakephp,cakephp,8500,https://github.com/cakephp/cakephp
httpie,http-prompt,8400,https://github.com/httpie/http-prompt
swagger-api,swagger-editor,7400,https://github.com/swagger-api/swagger-editor
dotnet-architecture,eShopOnWeb,7100,https://github.com/dotnet-architecture/eShopOnWeb
swagger-api,swagger-core,6900,https://github.com/swagger-api/swagger-core
kgrzybek,modular-monolith-with-ddd,6400,https://github.com/kgrzybek/modular-monolith-with-ddd
rest-assured,rest-assured,5700,https://github.com/rest-assured/rest-assured
tipsy,javalin,5300,https://github.com/tipsy/javalin
aisuhua,restful-api-design-references,4900,https://github.com/aisuhua/restful-api-design-references
Tencent,bk-cmdb,4300,https://github.com/Tencent/bk-cmdb
postlight,headless-wp-starter,4200,https://github.com/postlight/headless-wp-starter
swagger-api,swagger-node,3900,https://github.com/swagger-api/swagger-node
azat-co,practicalnode,3700,https://github.com/azat-co/practicalnode
dpgaspar,Flask-AppBuilder,3600,https://github.com/dpgaspar/Flask-AppBuilder
hagopj13,node-express-boilerplate,3600,https://github.com/hagopj13/node-express-boilerplate
