username,repo_name,stars,repo_url
rails,rails,50000,https://github.com/rails/rails
discourse,discourse,34900,https://github.com/discourse/discourse
gitlabhq,gitlabhq,22800,https://github.com/gitlabhq/gitlabhq
heartcombo,devise,22200,https://github.com/heartcombo/devise
diaspora,diaspora,13000,https://github.com/diaspora/diaspora
chatwoot,chatwoot,11900,https://github.com/chatwoot/chatwoot
spree,spree,11600,https://github.com/spree/spree
activeadmin,activeadmin,9100,https://github.com/activeadmin/activeadmin
kaminari,kaminari,8100,https://github.com/kaminari/kaminari
heartcombo,simple_form,7900,https://github.com/heartcombo/simple_form
thoughtbot,factory_bot,7400,https://github.com/thoughtbot/factory_bot
primer,octicons,7100,https://github.com/primer/octicons
gobuffalo,buffalo,6500,https://github.com/gobuffalo/buffalo
reactjs,react-rails,6400,https://github.com/reactjs/react-rails
presidentbeef,brakeman,6300,https://github.com/presidentbeef/brakeman
paper-trail-gem,paper_trail,6200,https://github.com/paper-trail-gem/paper_trail
rubocop,rails-style-guide,6200,https://github.com/rubocop/rails-style-guide
norman,friendly_id,5800,https://github.com/norman/friendly_id
ankane,searchkick,5800,https://github.com/ankane/searchkick
mislav,will_paginate,5600,https://github.com/mislav/will_paginate
sj26,mailcatcher,5500,https://github.com/sj26/mailcatcher
rails,webpacker,5300,https://github.com/rails/webpacker
thoughtbot,administrate,5300,https://github.com/thoughtbot/administrate
CanCanCommunity,cancancan,5100,https://github.com/CanCanCommunity/cancancan
rmosolgo,graphql-ruby,5000,https://github.com/rmosolgo/graphql-ruby
aasm,aasm,4500,https://github.com/aasm/aasm
simplecov-ruby,simplecov,4400,https://github.com/simplecov-ruby/simplecov
mina-deploy,mina,4200,https://github.com/mina-deploy/mina
railsgirls,railsgirls.github.io,4200,https://github.com/railsgirls/railsgirls.github.io
octobox,octobox,4200,https://github.com/octobox/octobox
