username,repo_name,stars,repo_url
home-assistant,core,49300,https://github.com/home-assistant/core
pi-hole,pi-hole,34700,https://github.com/pi-hole/pi-hole
MichMich,MagicMirror,16200,https://github.com/MichMich/MagicMirror
jarun,nnn,13400,https://github.com/jarun/nnn
rwaldron,johnny-five,12500,https://github.com/rwaldron/johnny-five
s-matyukevich,raspberry-pi-os,11100,https://github.com/s-matyukevich/raspberry-pi-os
thibmaek,awesome-raspberry-pi,9500,https://github.com/thibmaek/awesome-raspberry-pi
RetroPie,RetroPie-Setup,9400,https://github.com/RetroPie/RetroPie-Setup
therecipe,qt,9000,https://github.com/therecipe/qt
microsoft,IoT-For-Beginners,9000,https://github.com/microsoft/IoT-For-Beginners
nasa,fprime,8700,https://github.com/nasa/fprime
openframeworks,openFrameworks,8700,https://github.com/openframeworks/openFrameworks
raysan5,raylib,8500,https://github.com/raysan5/raylib
hybridgroup,gobot,7600,https://github.com/hybridgroup/gobot
rust-embedded,rust-raspberrypi-OS-tutorials,7600,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
OctoPrint,OctoPrint,6400,https://github.com/OctoPrint/OctoPrint
MycroftAI,mycroft-core,5600,https://github.com/MycroftAI/mycroft-core
pivpn,pivpn,4900,https://github.com/pivpn/pivpn
raspberrypi,documentation,4500,https://github.com/raspberrypi/documentation
pikvm,pikvm,4200,https://github.com/pikvm/pikvm
alexellis,k3sup,4200,https://github.com/alexellis/k3sup
cuberite,cuberite,4000,https://github.com/cuberite/cuberite
FD-,RPiPlay,3900,https://github.com/FD-/RPiPlay
hybridgroup,cylon,3900,https://github.com/hybridgroup/cylon
CCOSTAN,Home-AssistantConfig,3800,https://github.com/CCOSTAN/Home-AssistantConfig
dtcooper,raspotify,3700,https://github.com/dtcooper/raspotify
SuLingGG,OpenWrt-Rpi,3700,https://github.com/SuLingGG/OpenWrt-Rpi
RaspAP,raspap-webgui,3500,https://github.com/RaspAP/raspap-webgui
blynkkk,blynk-library,3300,https://github.com/blynkkk/blynk-library
anudeepND,whitelist,3100,https://github.com/anudeepND/whitelist
