username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,340000,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,182000,https://github.com/facebook/react
facebook,create-react-app,93100,https://github.com/facebook/create-react-app
justjavac,free-programming-books-zh_CN,86700,https://github.com/justjavac/free-programming-books-zh_CN
vercel,next.js,80500,https://github.com/vercel/next.js
ant-design,ant-design,77500,https://github.com/ant-design/ant-design
mui-org,material-ui,74800,https://github.com/mui-org/material-ui
storybookjs,storybook,68500,https://github.com/storybookjs/storybook
gatsbyjs,gatsby,52300,https://github.com/gatsbyjs/gatsby
enaqx,awesome-react,46700,https://github.com/enaqx/awesome-react
leonardomso,33-js-concepts,46300,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,46300,https://github.com/ionic-team/ionic-framework
apache,superset,44200,https://github.com/apache/superset
vercel,hyper,37800,https://github.com/vercel/hyper
FreeCodeCampChina,freecodecamp.cn,36500,https://github.com/FreeCodeCampChina/freecodecamp.cn
styled-components,styled-components,35800,https://github.com/styled-components/styled-components
typescript-cheatsheets,react,31300,https://github.com/typescript-cheatsheets/react
ant-design,ant-design-pro,31300,https://github.com/ant-design/ant-design-pro
jondot,awesome-react-native,31000,https://github.com/jondot/awesome-react-native
preactjs,preact,30900,https://github.com/preactjs/preact
NervJS,taro,30400,https://github.com/NervJS/taro
facebook,docusaurus,30200,https://github.com/facebook/docusaurus
evanw,esbuild,30200,https://github.com/evanw/esbuild
xitu,gold-miner,30100,https://github.com/xitu/gold-miner
jaredpalmer,formik,29500,https://github.com/jaredpalmer/formik
SheetJS,sheetjs,28900,https://github.com/SheetJS/sheetjs
brillout,awesome-react-components,28900,https://github.com/brillout/awesome-react-components
react-boilerplate,react-boilerplate,28200,https://github.com/react-boilerplate/react-boilerplate
atlassian,react-beautiful-dnd,26100,https://github.com/atlassian/react-beautiful-dnd
react-hook-form,react-hook-form,25700,https://github.com/react-hook-form/react-hook-form
