username,repo_name,stars,repo_url
reduxjs,redux,57400,https://github.com/reduxjs/redux
react-boilerplate,react-boilerplate,28200,https://github.com/react-boilerplate/react-boilerplate
immerjs,immer,22100,https://github.com/immerjs/immer
redux-saga,redux-saga,22000,https://github.com/redux-saga/redux-saga
reduxjs,react-redux,21700,https://github.com/reduxjs/react-redux
markerikson,react-redux-links,21300,https://github.com/markerikson/react-redux-links
paularmstrong,normalizr,20800,https://github.com/paularmstrong/normalizr
verekia,js-stack-from-scratch,18800,https://github.com/verekia/js-stack-from-scratch
sudheerj,reactjs-interview-questions,18600,https://github.com/sudheerj/reactjs-interview-questions
reduxjs,reselect,18400,https://github.com/reduxjs/reselect
dvajs,dva,15900,https://github.com/dvajs/dva
responsively-org,responsively-app,15100,https://github.com/responsively-org/responsively-app
grab,front-end-guide,14200,https://github.com/grab/front-end-guide
infinitered,reactotron,13400,https://github.com/infinitered/reactotron
zalmoxisus,redux-devtools-extension,13300,https://github.com/zalmoxisus/redux-devtools-extension
redux-form,redux-form,12600,https://github.com/redux-form/redux-form
Automattic,wp-calypso,12000,https://github.com/Automattic/wp-calypso
xgrommx,awesome-redux,12000,https://github.com/xgrommx/awesome-redux
rt2zz,redux-persist,11800,https://github.com/rt2zz/redux-persist
piotrwitek,react-redux-typescript-guide,11700,https://github.com/piotrwitek/react-redux-typescript-guide
onivim,oni,11500,https://github.com/onivim/oni
microsoft,frontend-bootcamp,10500,https://github.com/microsoft/frontend-bootcamp
reactide,reactide,10400,https://github.com/reactide/reactide
coryhouse,react-slingshot,9800,https://github.com/coryhouse/react-slingshot
hackjutsu,Lepton,9100,https://github.com/hackjutsu/Lepton
GetStream,Winds,8500,https://github.com/GetStream/Winds
devhubapp,devhub,7900,https://github.com/devhubapp/devhub
rematch,rematch,7800,https://github.com/rematch/rematch
brianegan,flutter_architecture_samples,7600,https://github.com/brianegan/flutter_architecture_samples
alibaba,fish-redux,7200,https://github.com/alibaba/fish-redux
