username,repo_name,stars,repo_url
rails,rails,50000,https://github.com/rails/rails
DopplerHQ,awesome-interview-questions,44900,https://github.com/DopplerHQ/awesome-interview-questions
jekyll,jekyll,44000,https://github.com/jekyll/jekyll
discourse,discourse,34900,https://github.com/discourse/discourse
fastlane,fastlane,34000,https://github.com/fastlane/fastlane
Homebrew,brew,30800,https://github.com/Homebrew/brew
serhii-londar,open-source-mac-os-apps,29300,https://github.com/serhii-londar/open-source-mac-os-apps
hashicorp,vagrant,23300,https://github.com/hashicorp/vagrant
gitlabhq,gitlabhq,22800,https://github.com/gitlabhq/gitlabhq
SeleniumHQ,selenium,22700,https://github.com/SeleniumHQ/selenium
heartcombo,devise,22200,https://github.com/heartcombo/devise
ruby,ruby,18800,https://github.com/ruby/ruby
oracle,graal,16500,https://github.com/oracle/graal
rubocop,ruby-style-guide,15900,https://github.com/rubocop/ruby-style-guide
rbenv,rbenv,13900,https://github.com/rbenv/rbenv
asdf-vm,asdf,13000,https://github.com/asdf-vm/asdf
diaspora,diaspora,13000,https://github.com/diaspora/diaspora
lewagon,setup,12100,https://github.com/lewagon/setup
capistrano,capistrano,12100,https://github.com/capistrano/capistrano
markets,awesome-ruby,11900,https://github.com/markets/awesome-ruby
rubocop,rubocop,11600,https://github.com/rubocop/rubocop
spree,spree,11600,https://github.com/spree/spree
mperham,sidekiq,11500,https://github.com/mperham/sidekiq
sinatra,sinatra,11500,https://github.com/sinatra/sinatra
postalserver,postal,11300,https://github.com/postalserver/postal
fluent,fluentd,10900,https://github.com/fluent/fluentd
Homebrew,homebrew-core,10700,https://github.com/Homebrew/homebrew-core
faker-ruby,faker,9900,https://github.com/faker-ruby/faker
learnbyexample,Command-line-text-processing,9800,https://github.com/learnbyexample/Command-line-text-processing
ruby-grape,grape,9500,https://github.com/ruby-grape/grape
