username,repo_name,stars,repo_url
denoland,deno,80100,https://github.com/denoland/deno
rust-lang,rust,62900,https://github.com/rust-lang/rust
alacritty,alacritty,37200,https://github.com/alacritty/alacritty
sharkdp,bat,32000,https://github.com/sharkdp/bat
tauri-apps,tauri,29800,https://github.com/tauri-apps/tauri
rust-unofficial,awesome-rust,24000,https://github.com/rust-unofficial/awesome-rust
starship,starship,22000,https://github.com/starship/starship
rust-lang,rustlings,21800,https://github.com/rust-lang/rustlings
meilisearch,meilisearch,21100,https://github.com/meilisearch/meilisearch
servo,servo,20600,https://github.com/servo/servo
sharkdp,fd,20400,https://github.com/sharkdp/fd
swc-project,swc,20000,https://github.com/swc-project/swc
yewstack,yew,18900,https://github.com/yewstack/yew
google,flatbuffers,17400,https://github.com/google/flatbuffers
nushell,nushell,17100,https://github.com/nushell/nushell
firecracker-microvm,firecracker,17100,https://github.com/firecracker-microvm/firecracker
ogham,exa,16400,https://github.com/ogham/exa
SergioBenitez,Rocket,16100,https://github.com/SergioBenitez/Rocket
AppFlowy-IO,appflowy,16000,https://github.com/AppFlowy-IO/appflowy
tokio-rs,tokio,14800,https://github.com/tokio-rs/tokio
rustdesk,rustdesk,14700,https://github.com/rustdesk/rustdesk
dani-garcia,vaultwarden,13900,https://github.com/dani-garcia/vaultwarden
bevyengine,bevy,13800,https://github.com/bevyengine/bevy
redox-os,redox,13700,https://github.com/redox-os/redox
actix,actix-web,13100,https://github.com/actix/actix-web
iced-rs,iced,12700,https://github.com/iced-rs/iced
valeriansaliou,sonic,12500,https://github.com/valeriansaliou/sonic
cube-js,cube.js,12300,https://github.com/cube-js/cube.js
dandavison,delta,12100,https://github.com/dandavison/delta
Rigellute,spotify-tui,11400,https://github.com/Rigellute/spotify-tui
