username,repo_name,stars,repo_url
apache,spark,31900,https://github.com/apache/spark
pingcap,tidb,30300,https://github.com/pingcap/tidb
sequelize,sequelize,25600,https://github.com/sequelize/sequelize
dbeaver,dbeaver,24300,https://github.com/dbeaver/dbeaver
cockroachdb,cockroach,23300,https://github.com/cockroachdb/cockroach
ClickHouse,ClickHouse,21900,https://github.com/ClickHouse/ClickHouse
bregman-arie,devops-exercises,21000,https://github.com/bregman-arie/devops-exercises
osquery,osquery,18600,https://github.com/osquery/osquery
apache,flink,18100,https://github.com/apache/flink
mybatis,mybatis-3,16700,https://github.com/mybatis/mybatis-3
knex,knex,15300,https://github.com/knex/knex
apache,shardingsphere,15200,https://github.com/apache/shardingsphere
DapperLib,Dapper,14500,https://github.com/DapperLib/Dapper
prestodb,presto,13100,https://github.com/prestodb/presto
timescale,timescaledb,12400,https://github.com/timescale/timescaledb
cube-js,cube.js,12300,https://github.com/cube-js/cube.js
go-sql-driver,mysql,11900,https://github.com/go-sql-driver/mysql
dolthub,dolt,10100,https://github.com/dolthub/dolt
sql-js,sql.js,9800,https://github.com/sql-js/sql.js
rqlite,rqlite,9500,https://github.com/rqlite/rqlite
bitwarden,server,9100,https://github.com/bitwarden/server
harelba,q,8900,https://github.com/harelba/q
beekeeper-studio,beekeeper-studio,8400,https://github.com/beekeeper-studio/beekeeper-studio
golang-migrate,migrate,8000,https://github.com/golang-migrate/migrate
questdb,questdb,7900,https://github.com/questdb/questdb
XiaoMi,soar,7700,https://github.com/XiaoMi/soar
codenotary,immudb,7100,https://github.com/codenotary/immudb
AkashSingh3031,The-Complete-FAANG-Preparation,7000,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
nopSolutions,nopCommerce,6900,https://github.com/nopSolutions/nopCommerce
xo,usql,6900,https://github.com/xo/usql
