username,repo_name,stars,repo_url
twbs,bootstrap,155000,https://github.com/twbs/bootstrap
bailicangdu,vue2-elm,37500,https://github.com/bailicangdu/vue2-elm
IanLunn,Hover,25800,https://github.com/IanLunn/Hover
tabler,tabler,24900,https://github.com/tabler/tabler
akveo,ngx-admin,23400,https://github.com/akveo/ngx-admin
palantir,blueprint,18500,https://github.com/palantir/blueprint
chatwoot,chatwoot,11900,https://github.com/chatwoot/chatwoot
primer,css,10700,https://github.com/primer/css
stylelint,stylelint,9400,https://github.com/stylelint/stylelint
thoughtbot,bourbon,9100,https://github.com/thoughtbot/bourbon
akveo,nebular,7400,https://github.com/akveo/nebular
jonsuh,hamburgers,6600,https://github.com/jonsuh/hamburgers
linkedin,css-blocks,6300,https://github.com/linkedin/css-blocks
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
pahen,madge,5700,https://github.com/pahen/madge
maximegris,angular-electron,5000,https://github.com/maximegris/angular-electron
kazzkiq,balloon.css,4900,https://github.com/kazzkiq/balloon.css
elrumordelaluz,csshake,4600,https://github.com/elrumordelaluz/csshake
thoughtbot,neat,4500,https://github.com/thoughtbot/neat
webpack-contrib,sass-loader,3700,https://github.com/webpack-contrib/sass-loader
RyanFitzgerald,devportfolio,3600,https://github.com/RyanFitzgerald/devportfolio
elastic,eui,3400,https://github.com/elastic/eui
mojotech,jeet,3000,https://github.com/mojotech/jeet
Chalarangelo,mini.css,2900,https://github.com/Chalarangelo/mini.css
modularcode,modular-admin-html,2900,https://github.com/modularcode/modular-admin-html
twbs,rfs,2900,https://github.com/twbs/rfs
sass,dart-sass,2800,https://github.com/sass/dart-sass
KittyGiraudel,sass-boilerplate,2800,https://github.com/KittyGiraudel/sass-boilerplate
olefredrik,FoundationPress,2800,https://github.com/olefredrik/FoundationPress
matejlatin,Gutenberg,2800,https://github.com/matejlatin/Gutenberg
