username,repo_name,stars,repo_url
apache,spark,31900,https://github.com/apache/spark
apache,kafka,21000,https://github.com/apache/kafka
apache,flink,18100,https://github.com/apache/flink
scala,scala,13600,https://github.com/scala/scala
apache,predictionio,12500,https://github.com/apache/predictionio
eclipse,deeplearning4j,12300,https://github.com/eclipse/deeplearning4j
playframework,playframework,12100,https://github.com/playframework/playframework
heibaiying,BigData-Notes,11100,https://github.com/heibaiying/BigData-Notes
lichess-org,lila,10800,https://github.com/lichess-org/lila
yahoo,CMAK,10600,https://github.com/yahoo/CMAK
hmemcpy,milewski-ctfp-pdf,9200,https://github.com/hmemcpy/milewski-ctfp-pdf
gitbucket,gitbucket,8600,https://github.com/gitbucket/gitbucket
kanaka,mal,8400,https://github.com/kanaka/mal
lk-geimfari,awesomo,8300,https://github.com/lk-geimfari/awesomo
lauris,awesome-scala,8300,https://github.com/lauris/awesome-scala
twitter,finagle,8200,https://github.com/twitter/finagle
Angel-ML,angel,6500,https://github.com/Angel-ML/angel
apache,zeppelin,5600,https://github.com/apache/zeppelin
gatling,gatling,5400,https://github.com/gatling/gatling
lampepfl,dotty,4900,https://github.com/lampepfl/dotty
nteract,papermill,4500,https://github.com/nteract/papermill
scalaz,scalaz,4500,https://github.com/scalaz/scalaz
sbt,sbt,4500,https://github.com/sbt/sbt
scala-js,scala-js,4300,https://github.com/scala-js/scala-js
polynote,polynote,4300,https://github.com/polynote/polynote
scala-native,scala-native,4100,https://github.com/scala-native/scala-native
intel-analytics,BigDL,3800,https://github.com/intel-analytics/BigDL
yahoo,TensorFlowOnSpark,3800,https://github.com/yahoo/TensorFlowOnSpark
emacs-lsp,lsp-mode,3700,https://github.com/emacs-lsp/lsp-mode
izhangzhihao,intellij-rainbow-brackets,3700,https://github.com/izhangzhihao/intellij-rainbow-brackets
