username,repo_name,stars,repo_url
trimstray,the-book-of-secret-knowledge,58700,https://github.com/trimstray/the-book-of-secret-knowledge
Hack-with-Github,Awesome-Hacking,48700,https://github.com/Hack-with-Github/Awesome-Hacking
x64dbg,x64dbg,38000,https://github.com/x64dbg/x64dbg
caddyserver,caddy,36700,https://github.com/caddyserver/caddy
swisskyrepo,PayloadsAllTheThings,33900,https://github.com/swisskyrepo/PayloadsAllTheThings
Developer-Y,cs-video-courses,29400,https://github.com/Developer-Y/cs-video-courses
mitmproxy,mitmproxy,25800,https://github.com/mitmproxy/mitmproxy
trailofbits,algo,24500,https://github.com/trailofbits/algo
FallibleInc,security-guide-for-developers,20000,https://github.com/FallibleInc/security-guide-for-developers
StevenBlack,hosts,19800,https://github.com/StevenBlack/hosts
OWASP,CheatSheetSeries,19700,https://github.com/OWASP/CheatSheetSeries
drduh,macOS-Security-and-Privacy-Guide,18800,https://github.com/drduh/macOS-Security-and-Privacy-Guide
osquery,osquery,18600,https://github.com/osquery/osquery
hwdsl2,setup-ipsec-vpn,17300,https://github.com/hwdsl2/setup-ipsec-vpn
shieldfy,API-Security-Checklist,16600,https://github.com/shieldfy/API-Security-Checklist
matomo-org,matomo,15900,https://github.com/matomo-org/matomo
radareorg,radare2,15700,https://github.com/radareorg/radare2
OpenZeppelin,openzeppelin-contracts,15500,https://github.com/OpenZeppelin/openzeppelin-contracts
digitalocean,nginxconfig.io,15200,https://github.com/digitalocean/nginxconfig.io
trimstray,nginx-admins-handbook,12500,https://github.com/trimstray/nginx-admins-handbook
Hacker0x01,hacker101,12300,https://github.com/Hacker0x01/hacker101
docker-slim,docker-slim,12200,https://github.com/docker-slim/docker-slim
imthenachoman,How-To-Secure-A-Linux-Server,12100,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server
ory,hydra,12100,https://github.com/ory/hydra
google,tink,12000,https://github.com/google/tink
keepassxreboot,keepassxc,12000,https://github.com/keepassxreboot/keepassxc
authelia,authelia,11600,https://github.com/authelia/authelia
gravitational,teleport,11000,https://github.com/gravitational/teleport
bettercap,bettercap,10900,https://github.com/bettercap/bettercap
rizinorg,cutter,10800,https://github.com/rizinorg/cutter
