username,repo_name,stars,repo_url
expressjs,express,55800,https://github.com/expressjs/express
gin-gonic,gin,55100,https://github.com/gin-gonic/gin
kataras,iris,21800,https://github.com/kataras/iris
vapor,vapor,21300,https://github.com/vapor/vapor
PostgREST,postgrest,18300,https://github.com/PostgREST/postgrest
AppFlowy-IO,appflowy,16000,https://github.com/AppFlowy-IO/appflowy
valeriansaliou,sonic,12500,https://github.com/valeriansaliou/sonic
imthenachoman,How-To-Secure-A-Linux-Server,12100,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server
ory,hydra,12100,https://github.com/ory/hydra
http-party,http-server,11500,https://github.com/http-party/http-server
mail-in-a-box,mailinabox,10800,https://github.com/mail-in-a-box/mailinabox
restify,node-restify,10400,https://github.com/restify/node-restify
OpenRCT2,OpenRCT2,10200,https://github.com/OpenRCT2/OpenRCT2
withastro,astro,10100,https://github.com/withastro/astro
afaqurk,linux-dash,9800,https://github.com/afaqurk/linux-dash
google,go-cloud,8200,https://github.com/google/go-cloud
Kitura,Kitura,7500,https://github.com/Kitura/Kitura
adnanh,webhook,7400,https://github.com/adnanh/webhook
webpack,webpack-dev-server,7300,https://github.com/webpack/webpack-dev-server
puma,puma,6900,https://github.com/puma/puma
seanmonstar,warp,5900,https://github.com/seanmonstar/warp
vibora-io,vibora,5700,https://github.com/vibora-io/vibora
sj26,mailcatcher,5500,https://github.com/sj26/mailcatcher
ponzu-cms,ponzu,5400,https://github.com/ponzu-cms/ponzu
egametang,ET,5400,https://github.com/egametang/ET
processone,ejabberd,5100,https://github.com/processone/ejabberd
kbengine,kbengine,4800,https://github.com/kbengine/kbengine
mumble-voip,mumble,4600,https://github.com/mumble-voip/mumble
shazow,ssh-chat,4600,https://github.com/shazow/ssh-chat
cuberite,cuberite,4000,https://github.com/cuberite/cuberite
