username,repo_name,stars,repo_url
serverless,serverless,42000,https://github.com/serverless/serverless
anuraghazra,github-readme-stats,36800,https://github.com/anuraghazra/github-readme-stats
Kong,kong,31100,https://github.com/Kong/kong
pingcap,tidb,30300,https://github.com/pingcap/tidb
kriasoft,react-starter-kit,21100,https://github.com/kriasoft/react-starter-kit
openfaas,faas,21000,https://github.com/openfaas/faas
firecracker-microvm,firecracker,17100,https://github.com/firecracker-microvm/firecracker
alibaba,ice,17000,https://github.com/alibaba/ice
prisma,prisma1,16800,https://github.com/prisma/prisma1
dapr,dapr,16800,https://github.com/dapr/dapr
appwrite,appwrite,16100,https://github.com/appwrite/appwrite
prisma-archive,chromeless,13300,https://github.com/prisma-archive/chromeless
cube-js,cube.js,12300,https://github.com/cube-js/cube.js
Miserlou,Zappa,11800,https://github.com/Miserlou/Zappa
pulumi,pulumi,11200,https://github.com/pulumi/pulumi
firebase,functions-samples,10700,https://github.com/firebase/functions-samples
donnemartin,awesome-aws,10000,https://github.com/donnemartin/awesome-aws
serverless,examples,9800,https://github.com/serverless/examples
aws,chalice,8600,https://github.com/aws/chalice
apex,up,8500,https://github.com/apex/up
aws,serverless-application-model,8400,https://github.com/aws/serverless-application-model
apache,apisix,8300,https://github.com/apache/apisix
cncf,landscape,8100,https://github.com/cncf/landscape
vmware-archive,kubeless,6800,https://github.com/vmware-archive/kubeless
fission,fission,6700,https://github.com/fission/fission
node-formidable,formidable,6100,https://github.com/node-formidable/formidable
aws,aws-sam-cli,5900,https://github.com/aws/aws-sam-cli
apache,openwhisk,5600,https://github.com/apache/openwhisk
midwayjs,midway,5300,https://github.com/midwayjs/midway
micronaut-projects,micronaut-core,5200,https://github.com/micronaut-projects/micronaut-core
