username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,140000,https://github.com/ohmyzsh/ohmyzsh
nvbn,thefuck,66500,https://github.com/nvbn/thefuck
nvm-sh,nvm,55000,https://github.com/nvm-sh/nvm
git,git,40900,https://github.com/git/git
tldr-pages,tldr,37100,https://github.com/tldr-pages/tldr
GitSquared,edex-ui,34900,https://github.com/GitSquared/edex-ui
pi-hole,pi-hole,34700,https://github.com/pi-hole/pi-hole
ryanoasis,nerd-fonts,32800,https://github.com/ryanoasis/nerd-fonts
PowerShell,PowerShell,31900,https://github.com/PowerShell/PowerShell
dylanaraps,pure-bash-bible,28300,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,27600,https://github.com/koalaman/shellcheck
pyenv,pyenv,26000,https://github.com/pyenv/pyenv
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
acmesh-official,acme.sh,25200,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,22900,https://github.com/alebcay/awesome-shell
zsh-users,zsh-autosuggestions,20300,https://github.com/zsh-users/zsh-autosuggestions
ibraheemdev,modern-unix,20200,https://github.com/ibraheemdev/modern-unix
railsware,upterm,19400,https://github.com/railsware/upterm
nushell,nushell,17100,https://github.com/nushell/nushell
spaceship-prompt,spaceship-prompt,16000,https://github.com/spaceship-prompt/spaceship-prompt
gpakosz,.tmux,15900,https://github.com/gpakosz/.tmux
Nyr,openvpn-install,14400,https://github.com/Nyr/openvpn-install
rbenv,rbenv,13900,https://github.com/rbenv/rbenv
zsh-users,zsh-syntax-highlighting,13500,https://github.com/zsh-users/zsh-syntax-highlighting
shelljs,shelljs,13000,https://github.com/shelljs/shelljs
asdf-vm,asdf,13000,https://github.com/asdf-vm/asdf
Bash-it,bash-it,12700,https://github.com/Bash-it/bash-it
jessfraz,dockerfiles,12300,https://github.com/jessfraz/dockerfiles
faressoft,terminalizer,12300,https://github.com/faressoft/terminalizer
kaldi-asr,kaldi,11300,https://github.com/kaldi-asr/kaldi
