username,repo_name,stars,repo_url
airbnb,react-sketchapp,14900,https://github.com/airbnb/react-sketchapp
gztchan,awesome-design,13400,https://github.com/gztchan/awesome-design
casesandberg,react-color,10400,https://github.com/casesandberg/react-color
tldraw,tldraw,5600,https://github.com/tldraw/tldraw
themerdev,themer,4600,https://github.com/themerdev/themer
sketchplugins,plugin-directory,3400,https://github.com/sketchplugins/plugin-directory
boringdesigners,boring-avatars,3400,https://github.com/boringdesigners/boring-avatars
weui,weui-design,2800,https://github.com/weui/weui-design
weixin,Miaow,2500,https://github.com/weixin/Miaow
mathieudutour,git-sketch-plugin,2500,https://github.com/mathieudutour/git-sketch-plugin
matt-curtis,Fluid-for-Sketch,2400,https://github.com/matt-curtis/Fluid-for-Sketch
andrewfiorillo,sketch-palettes,2300,https://github.com/andrewfiorillo/sketch-palettes
DWilliames,paddy-sketch-plugin,2200,https://github.com/DWilliames/paddy-sketch-plugin
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
html-sketchapp,html-sketchapp,1800,https://github.com/html-sketchapp/html-sketchapp
ajstarks,svgo,1800,https://github.com/ajstarks/svgo
dataliterate,data-populator,1700,https://github.com/dataliterate/data-populator
kactus-io,kactus,1500,https://github.com/kactus-io/kactus
Mukosame,Anime2Sketch,1400,https://github.com/Mukosame/Anime2Sketch
vydd,sketch,1200,https://github.com/vydd/sketch
ment-mx,Prism,1000,https://github.com/ment-mx/Prism
carbon-design-system,carbon-design-kit,1000,https://github.com/carbon-design-system/carbon-design-kit
stephenway,sketch-foundation-kit,1000,https://github.com/stephenway/sketch-foundation-kit
skpm,skpm,930,https://github.com/skpm/skpm
zddhub,opensse,915,https://github.com/zddhub/opensse
Ashung,Automate-Sketch,900,https://github.com/Ashung/Automate-Sketch
MohamedYoussouf,Design-Resources,896,https://github.com/MohamedYoussouf/Design-Resources
AMoreaux,Sketch-Icons,876,https://github.com/AMoreaux/Sketch-Icons
AnimaApp,sketch-web-viewer,872,https://github.com/AnimaApp/sketch-web-viewer
sonburn,symbol-organizer,839,https://github.com/sonburn/symbol-organizer
