username,repo_name,stars,repo_url
zerotier,ZeroTierOne,8100,https://github.com/zerotier/ZeroTierOne
mininet,mininet,4200,https://github.com/mininet/mininet
kubeovn,kube-ovn,1100,https://github.com/kubeovn/kube-ovn
feiskyer,sdn-handbook,1000,https://github.com/feiskyer/sdn-handbook
ansyun,dpdk-ans,985,https://github.com/ansyun/dpdk-ans
sdnds-tw,awesome-sdn,982,https://github.com/sdnds-tw/awesome-sdn
tonydeng,sdn-handbook,828,https://github.com/tonydeng/sdn-handbook
zerotier,libzt,656,https://github.com/zerotier/libzt
faucetsdn,faucet,424,https://github.com/faucetsdn/faucet
IQTLabs,poseidon,350,https://github.com/IQTLabs/poseidon
FabEdge,fabedge,325,https://github.com/FabEdge/fabedge
YanHaoChen,Learning-SDN,304,https://github.com/YanHaoChen/Learning-SDN
CPqD,ofsoftswitch13,281,https://github.com/CPqD/ofsoftswitch13
vedetta-com,vedetta,279,https://github.com/vedetta-com/vedetta
bregman-arie,computer-networking,276,https://github.com/bregman-arie/computer-networking
stratum,stratum,244,https://github.com/stratum/stratum
dec0dOS,zero-ui,217,https://github.com/dec0dOS/zero-ui
smartbgp,yabgp,200,https://github.com/smartbgp/yabgp
KatharaFramework,Kathara,188,https://github.com/KatharaFramework/Kathara
knowledgedefinednetworking,a-deep-rl-approach-for-sdn-routing-optimization,156,https://github.com/knowledgedefinednetworking/a-deep-rl-approach-for-sdn-routing-optimization
sdnewhop,sdwannewhope,155,https://github.com/sdnewhop/sdwannewhope
jwhited,corebgp,139,https://github.com/jwhited/corebgp
tbarbette,fastclick,126,https://github.com/tbarbette/fastclick
cormacrelf,terraform-provider-zerotier,123,https://github.com/cormacrelf/terraform-provider-zerotier
cntt-n,CNTT,112,https://github.com/cntt-n/CNTT
superkkt,cherry,101,https://github.com/superkkt/cherry
husarnet,husarnet,99,https://github.com/husarnet/husarnet
cloud-native-taiwan,meetups,95,https://github.com/cloud-native-taiwan/meetups
intel-go,nff-go-nat,88,https://github.com/intel-go/nff-go-nat
alibaba,hybridnet,86,https://github.com/alibaba/hybridnet
