username,repo_name,stars,repo_url
SpaceVim,SpaceVim,17700,https://github.com/SpaceVim/SpaceVim
wsdjeg,vim-galore-zh_cn,8800,https://github.com/wsdjeg/vim-galore-zh_cn
wsdjeg,DotFiles,1400,https://github.com/wsdjeg/DotFiles
wsdjeg,vim-chat,472,https://github.com/wsdjeg/vim-chat
Gabirel,Hack-SpaceVim,403,https://github.com/Gabirel/Hack-SpaceVim
ctjhoa,spacevim,368,https://github.com/ctjhoa/spacevim
wsdjeg,FlyGrep.vim,293,https://github.com/wsdjeg/FlyGrep.vim
wsdjeg,GitHub.vim,192,https://github.com/wsdjeg/GitHub.vim
Martins3,My-Linux-Config,144,https://github.com/Martins3/My-Linux-Config
wsdjeg,JavaUnit.vim,104,https://github.com/wsdjeg/JavaUnit.vim
wsdjeg,imenu.vim,99,https://github.com/wsdjeg/imenu.vim
wsdjeg,job.vim,91,https://github.com/wsdjeg/job.vim
SpaceVim,vim-markdown,74,https://github.com/SpaceVim/vim-markdown
SpaceVim,gtags.vim,71,https://github.com/SpaceVim/gtags.vim
SpaceVim,cscope.vim,65,https://github.com/SpaceVim/cscope.vim
prontera,ideavimrc,58,https://github.com/prontera/ideavimrc
mrbeardad,SpaceVim,43,https://github.com/mrbeardad/SpaceVim
Tehnix,spaceneovim-layers,39,https://github.com/Tehnix/spaceneovim-layers
joelazar,dotfiles,35,https://github.com/joelazar/dotfiles
lucasprag,vimlociraptor,12,https://github.com/lucasprag/vimlociraptor
everettjf,SpaceVimTutorial,12,https://github.com/everettjf/SpaceVimTutorial
techgaun,dotfiles,8,https://github.com/techgaun/dotfiles
wsdjeg,vim-pact,7,https://github.com/wsdjeg/vim-pact
SpaceVim,SpaceVim-theme,7,https://github.com/SpaceVim/SpaceVim-theme
Axect,Socialst,7,https://github.com/Axect/Socialst
wsdjeg,vim-fuzzy,7,https://github.com/wsdjeg/vim-fuzzy
wsdjeg,vim-nim,6,https://github.com/wsdjeg/vim-nim
chrisenytc,spacevim,4,https://github.com/chrisenytc/spacevim
SpaceVim,unite-ctags,3,https://github.com/SpaceVim/unite-ctags
VarunBatraIT,SpaceBox,3,https://github.com/VarunBatraIT/SpaceBox
