username,repo_name,stars,repo_url
spring-projects,spring-boot,59400,https://github.com/spring-projects/spring-boot
macrozheng,mall,55700,https://github.com/macrozheng/mall
jeecgboot,jeecg-boot,27500,https://github.com/jeecgboot/jeecg-boot
ityouknow,spring-boot-examples,27000,https://github.com/ityouknow/spring-boot-examples
apolloconfig,apollo,26200,https://github.com/apolloconfig/apollo
xkcoding,spring-boot-demo,24600,https://github.com/xkcoding/spring-boot-demo
wuyouzhuguli,SpringAll,22600,https://github.com/wuyouzhuguli/SpringAll
jhipster,generator-jhipster,19300,https://github.com/jhipster/generator-jhipster
elunez,eladmin,17300,https://github.com/elunez/eladmin
linlinjava,litemall,16700,https://github.com/linlinjava/litemall
forezp,SpringCloudLearning,16300,https://github.com/forezp/SpringCloudLearning
dyc87112,SpringBoot-Learning,14100,https://github.com/dyc87112/SpringBoot-Learning
YunaiV,SpringBoot-Labs,13100,https://github.com/YunaiV/SpringBoot-Labs
chuzhixin,vue-admin-better,11300,https://github.com/chuzhixin/vue-admin-better
sqshq,piggymetrics,11300,https://github.com/sqshq/piggymetrics
codecentric,spring-boot-admin,10500,https://github.com/codecentric/spring-boot-admin
apereo,cas,9200,https://github.com/apereo/cas
lihengming,spring-boot-api-project-seed,9000,https://github.com/lihengming/spring-boot-api-project-seed
newbee-ltd,newbee-mall,8500,https://github.com/newbee-ltd/newbee-mall
hs-web,hsweb-framework,7700,https://github.com/hs-web/hsweb-framework
dyc87112,SpringCloud-Learning,6900,https://github.com/dyc87112/SpringCloud-Learning
ityouknow,spring-cloud-examples,5900,https://github.com/ityouknow/spring-cloud-examples
febsteam,FEBS-Shiro,5700,https://github.com/febsteam/FEBS-Shiro
wxiaoqi,Spring-Cloud-Platform,5600,https://github.com/wxiaoqi/Spring-Cloud-Platform
springfox,springfox,5500,https://github.com/springfox/springfox
spring-cloud,spring-cloud-netflix,4500,https://github.com/spring-cloud/spring-cloud-netflix
cloudfavorites,favorites-web,4500,https://github.com/cloudfavorites/favorites-web
zhaojun1998,zfile,4400,https://github.com/zhaojun1998/zfile
hansonwang99,Spring-Boot-In-Action,4200,https://github.com/hansonwang99/Spring-Boot-In-Action
ZHENFENG13,spring-boot-projects,4100,https://github.com/ZHENFENG13/spring-boot-projects
