username,repo_name,stars,repo_url
storybookjs,storybook,68500,https://github.com/storybookjs/storybook
nrwl,nx,10500,https://github.com/nrwl/nx
diegohaz,arc,2800,https://github.com/diegohaz/arc
vuesion,vuesion,2500,https://github.com/vuesion/vuesion
chromaui,learnstorybook.com,2300,https://github.com/chromaui/learnstorybook.com
React95,React95,1800,https://github.com/React95/React95
trungk18,jira-clone-angular,1700,https://github.com/trungk18/jira-clone-angular
AdaptiveConsulting,ReactiveTraderCloud,1700,https://github.com/AdaptiveConsulting/ReactiveTraderCloud
oblador,loki,1300,https://github.com/oblador/loki
pankod,next-boilerplate,1300,https://github.com/pankod/next-boilerplate
ifmeorg,ifme,1300,https://github.com/ifmeorg/ifme
danilowoz,react-atomic-design,1200,https://github.com/danilowoz/react-atomic-design
BuilderIO,figma-html,984,https://github.com/BuilderIO/figma-html
vue-play,vue-play,978,https://github.com/vue-play/vue-play
storybookjs,storybook-deployer,782,https://github.com/storybookjs/storybook-deployer
pocka,storybook-addon-designs,617,https://github.com/pocka/storybook-addon-designs
aeksco,react-typescript-web-extension-starter,603,https://github.com/aeksco/react-typescript-web-extension-starter
HarveyD,react-component-library,597,https://github.com/HarveyD/react-component-library
storybook-eol,react-cdk,582,https://github.com/storybook-eol/react-cdk
open-sauced,open-sauced,573,https://github.com/open-sauced/open-sauced
react-theming,storybook-addon-material-ui,549,https://github.com/react-theming/storybook-addon-material-ui
tuchk4,storybook-readme,526,https://github.com/tuchk4/storybook-readme
reg-viz,storycap,523,https://github.com/reg-viz/storycap
rcdexta,react-event-timeline,521,https://github.com/rcdexta/react-event-timeline
storybookjs,testing-react,520,https://github.com/storybookjs/testing-react
salihozdemir,stackoverflow-clone,520,https://github.com/salihozdemir/stackoverflow-clone
storybookjs,react-native,481,https://github.com/storybookjs/react-native
infinitered,ignite-andross,476,https://github.com/infinitered/ignite-andross
mthuret,storybook-addon-specifications,458,https://github.com/mthuret/storybook-addon-specifications
WebDevStudios,nextjs-wordpress-starter,430,https://github.com/WebDevStudios/nextjs-wordpress-starter
