username,repo_name,stars,repo_url
frappe,erpnext,10500,https://github.com/frappe/erpnext
zammad,zammad,2900,https://github.com/zammad/zammad
helpyio,helpy,2100,https://github.com/helpyio/helpy
freescout-helpdesk,freescout,1300,https://github.com/freescout-helpdesk/freescout
django-helpdesk,django-helpdesk,1300,https://github.com/django-helpdesk/django-helpdesk
mattmezza,vue-beautiful-chat,1100,https://github.com/mattmezza/vue-beautiful-chat
BadChoice,handesk,1100,https://github.com/BadChoice/handesk
polonel,trudesk,730,https://github.com/polonel/trudesk
bestpractical,rt,641,https://github.com/bestpractical/rt
rocketshipapps,adblockfast,619,https://github.com/rocketshipapps/adblockfast
blakmatrix,node-zendesk,300,https://github.com/blakmatrix/node-zendesk
fateshen,iOSDeviceSupport,293,https://github.com/fateshen/iOSDeviceSupport
spatie,laravel-support-bubble,259,https://github.com/spatie/laravel-support-bubble
system76,docs,256,https://github.com/system76/docs
pranavpandey,dynamic-support,232,https://github.com/pranavpandey/dynamic-support
BlitzKraig,AndroidResizer,194,https://github.com/BlitzKraig/AndroidResizer
ARCANEDEV,Support,174,https://github.com/ARCANEDEV/Support
novosga,novosga,165,https://github.com/novosga/novosga
slowtec,tokio-modbus,163,https://github.com/slowtec/tokio-modbus
znuny,Znuny,148,https://github.com/znuny/Znuny
follow-github-organisation,follow-github-organisation,146,https://github.com/follow-github-organisation/follow-github-organisation
cybercussion,SCOBot,140,https://github.com/cybercussion/SCOBot
eventum,eventum,136,https://github.com/eventum/eventum
ohld,telegram-support-bot,119,https://github.com/ohld/telegram-support-bot
taskrabbit,react-native-zendesk-chat,110,https://github.com/taskrabbit/react-native-zendesk-chat
aheze,SupportDocs,91,https://github.com/aheze/SupportDocs
yii2tech,selfupdate,90,https://github.com/yii2tech/selfupdate
risuorg,risu,86,https://github.com/risuorg/risu
RetGal,Dayon,78,https://github.com/RetGal/Dayon
php-kchat,kchat,78,https://github.com/php-kchat/kchat
