username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,86700,https://github.com/justjavac/free-programming-books-zh_CN
Alamofire,Alamofire,37100,https://github.com/Alamofire/Alamofire
shadowsocks,ShadowsocksX-NG,30100,https://github.com/shadowsocks/ShadowsocksX-NG
xitu,gold-miner,30100,https://github.com/xitu/gold-miner
serhii-londar,open-source-mac-os-apps,29300,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,29200,https://github.com/dkhamsing/open-source-ios-apps
iina,iina,29100,https://github.com/iina/iina
raywenderlich,swift-algorithm-club,25900,https://github.com/raywenderlich/swift-algorithm-club
SDWebImage,SDWebImage,24000,https://github.com/SDWebImage/SDWebImage
ReactiveX,RxSwift,21600,https://github.com/ReactiveX/RxSwift
matteocrippa,awesome-swift,21600,https://github.com/matteocrippa/awesome-swift
vapor,vapor,21300,https://github.com/vapor/vapor
SwiftyJSON,SwiftyJSON,21100,https://github.com/SwiftyJSON/SwiftyJSON
NativeScript,NativeScript,20800,https://github.com/NativeScript/NativeScript
HeroTransitions,Hero,20600,https://github.com/HeroTransitions/Hero
ReactiveCocoa,ReactiveCocoa,20000,https://github.com/ReactiveCocoa/ReactiveCocoa
onevcat,Kingfisher,19700,https://github.com/onevcat/Kingfisher
SnapKit,SnapKit,18200,https://github.com/SnapKit/SnapKit
appwrite,appwrite,16100,https://github.com/appwrite/appwrite
realm,SwiftLint,15700,https://github.com/realm/SwiftLint
ipader,SwiftGuide,15600,https://github.com/ipader/SwiftGuide
hackiftekhar,IQKeyboardManager,15500,https://github.com/hackiftekhar/IQKeyboardManager
realm,realm-swift,14900,https://github.com/realm/realm-swift
Carthage,Carthage,14500,https://github.com/Carthage/Carthage
Tencent,MMKV,14100,https://github.com/Tencent/MMKV
PerfectlySoft,Perfect,13900,https://github.com/PerfectlySoft/Perfect
mxcl,PromiseKit,13700,https://github.com/mxcl/PromiseKit
Moya,Moya,13700,https://github.com/Moya/Moya
MonitorControl,MonitorControl,13700,https://github.com/MonitorControl/MonitorControl
CocoaPods,CocoaPods,13600,https://github.com/CocoaPods/CocoaPods
