username,repo_name,stars,repo_url
symfony,symfony,26400,https://github.com/symfony/symfony
getgrav,grav,13100,https://github.com/getgrav/grav
symfony,console,9000,https://github.com/symfony/console
symfony,http-foundation,8100,https://github.com/symfony/http-foundation
symfony,event-dispatcher,8000,https://github.com/symfony/event-dispatcher
symfony,finder,7900,https://github.com/symfony/finder
symfony,http-kernel,7600,https://github.com/symfony/http-kernel
symfony,polyfill-mbstring,7400,https://github.com/symfony/polyfill-mbstring
symfony,debug,7300,https://github.com/symfony/debug
api-platform,api-platform,7200,https://github.com/api-platform/api-platform
symfony,routing,7100,https://github.com/symfony/routing
symfony,process,7000,https://github.com/symfony/process
symfony,css-selector,7000,https://github.com/symfony/css-selector
symfony,var-dumper,6800,https://github.com/symfony/var-dumper
Sylius,Sylius,6700,https://github.com/Sylius/Sylius
wallabag,wallabag,6500,https://github.com/wallabag/wallabag
php-pm,php-pm,6400,https://github.com/php-pm/php-pm
symfony,translation,6200,https://github.com/symfony/translation
pagekit,pagekit,5500,https://github.com/pagekit/pagekit
doctrine,DoctrineBundle,4300,https://github.com/doctrine/DoctrineBundle
symfony,filesystem,4100,https://github.com/symfony/filesystem
bolt,bolt,4100,https://github.com/bolt/bolt
doctrine,DoctrineMigrationsBundle,3800,https://github.com/doctrine/DoctrineMigrationsBundle
symfony,polyfill-ctype,3800,https://github.com/symfony/polyfill-ctype
symfony,flex,3800,https://github.com/symfony/flex
symfony,config,3700,https://github.com/symfony/config
symfony,dependency-injection,3700,https://github.com/symfony/dependency-injection
silexphp,Silex,3600,https://github.com/silexphp/Silex
symfony,cache,3600,https://github.com/symfony/cache
symfony,dom-crawler,3500,https://github.com/symfony/dom-crawler
