username,repo_name,stars,repo_url
tqdm,tqdm,21000,https://github.com/tqdm/tqdm
DrKLO,Telegram,19100,https://github.com/DrKLO/Telegram
telegramdesktop,tdesktop,17900,https://github.com/telegramdesktop/tdesktop
python-telegram-bot,python-telegram-bot,17500,https://github.com/python-telegram-bot/python-telegram-bot
tinode,chat,8400,https://github.com/tinode/chat
zhukov,webogram,7600,https://github.com/zhukov/webogram
OpenIMSDK,Open-IM-Server,6400,https://github.com/OpenIMSDK/Open-IM-Server
ramboxapp,community-edition,6200,https://github.com/ramboxapp/community-edition
LonamiWebs,Telethon,6000,https://github.com/LonamiWebs/Telethon
yagop,node-telegram-bot-api,5900,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,5300,https://github.com/telegraf/telegraf
dillidon,alerts-and-pickers,5300,https://github.com/dillidon/alerts-and-pickers
eternnoir,pyTelegramBotAPI,5100,https://github.com/eternnoir/pyTelegramBotAPI
42wim,matterbridge,4600,https://github.com/42wim/matterbridge
tdlib,td,4400,https://github.com/tdlib/td
getferdi,ferdi,4400,https://github.com/getferdi/ferdi
relatedcode,Messenger,4300,https://github.com/relatedcode/Messenger
meetfranz,franz,4100,https://github.com/meetfranz/franz
Yoctol,bottender,3800,https://github.com/Yoctol/bottender
PokemonGoF,PokemonGo-Bot,3700,https://github.com/PokemonGoF/PokemonGo-Bot
ro31337,libretaxi,3700,https://github.com/ro31337/libretaxi
goq,telegram-list,3400,https://github.com/goq/telegram-list
go-telegram-bot-api,telegram-bot-api,3400,https://github.com/go-telegram-bot-api/telegram-bot-api
php-telegram-bot,core,2900,https://github.com/php-telegram-bot/core
rubenlagus,TelegramBots,2800,https://github.com/rubenlagus/TelegramBots
pppscn,SmsForwarder,2500,https://github.com/pppscn/SmsForwarder
nickoala,telepot,2400,https://github.com/nickoala/telepot
pyrogram,pyrogram,2300,https://github.com/pyrogram/pyrogram
irazasyed,telegram-bot-sdk,2200,https://github.com/irazasyed/telegram-bot-sdk
TelegramBots,Telegram.Bot,2000,https://github.com/TelegramBots/Telegram.Bot
