username,repo_name,stars,repo_url
tensorflow,tensorflow,163000,https://github.com/tensorflow/tensorflow
huggingface,transformers,57500,https://github.com/huggingface/transformers
keras-team,keras,53800,https://github.com/keras-team/keras
aymericdamien,TensorFlow-Examples,41600,https://github.com/aymericdamien/TensorFlow-Examples
CorentinJ,Real-Time-Voice-Cloning,33000,https://github.com/CorentinJ/Real-Time-Voice-Cloning
google-research,bert,30300,https://github.com/google-research/bert
xitu,gold-miner,30100,https://github.com/xitu/gold-miner
ageron,handson-ml,24000,https://github.com/ageron/handson-ml
donnemartin,data-science-ipython-notebooks,22400,https://github.com/donnemartin/data-science-ipython-notebooks
matterport,Mask_RCNN,21200,https://github.com/matterport/Mask_RCNN
mozilla,DeepSpeech,18900,https://github.com/mozilla/DeepSpeech
photoprism,photoprism,18800,https://github.com/photoprism/photoprism
deezer,spleeter,18600,https://github.com/deezer/spleeter
lutzroeder,netron,17500,https://github.com/lutzroeder/netron
MLEveryday,100-Days-Of-ML-Code,17000,https://github.com/MLEveryday/100-Days-Of-ML-Code
instillai,TensorFlow-Course,16000,https://github.com/instillai/TensorFlow-Course
Tencent,ncnn,13700,https://github.com/Tencent/ncnn
justadudewhohacks,face-api.js,13400,https://github.com/justadudewhohacks/face-api.js
virgili0,Virgilio,13200,https://github.com/virgili0/Virgilio
d2l-ai,d2l-en,12300,https://github.com/d2l-ai/d2l-en
davidsandberg,facenet,12300,https://github.com/davidsandberg/facenet
dragen1860,Deep-Learning-with-TensorFlow-book,12200,https://github.com/dragen1860/Deep-Learning-with-TensorFlow-book
horovod,horovod,12100,https://github.com/horovod/horovod
huggingface,datasets,12000,https://github.com/huggingface/datasets
onnx,onnx,12000,https://github.com/onnx/onnx
kubeflow,kubeflow,11200,https://github.com/kubeflow/kubeflow
microsoft,nni,10900,https://github.com/microsoft/nni
chiphuyen,stanford-tensorflow-tutorials,10100,https://github.com/chiphuyen/stanford-tensorflow-tutorials
graykode,nlp-tutorial,10100,https://github.com/graykode/nlp-tutorial
hanxiao,bert-as-service,9900,https://github.com/hanxiao/bert-as-service
