username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,140000,https://github.com/ohmyzsh/ohmyzsh
microsoft,terminal,80000,https://github.com/microsoft/terminal
httpie,httpie,53600,https://github.com/httpie/httpie
vercel,hyper,37800,https://github.com/vercel/hyper
alacritty,alacritty,37200,https://github.com/alacritty/alacritty
tldr-pages,tldr,37100,https://github.com/tldr-pages/tldr
GitSquared,edex-ui,34900,https://github.com/GitSquared/edex-ui
Textualize,rich,34400,https://github.com/Textualize/rich
sharkdp,bat,32000,https://github.com/sharkdp/bat
Eugeny,tabby,29200,https://github.com/Eugeny/tabby
chubin,cheat.sh,28100,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,25700,https://github.com/jesseduffield/lazygit
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
mbadolato,iTerm2-Color-Schemes,21100,https://github.com/mbadolato/iTerm2-Color-Schemes
tqdm,tqdm,21000,https://github.com/tqdm/tqdm
sharkdp,fd,20400,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,20200,https://github.com/ibraheemdev/modern-unix
nicolargo,glances,19900,https://github.com/nicolargo/glances
railsware,upterm,19400,https://github.com/railsware/upterm
zyedidia,micro,18800,https://github.com/zyedidia/micro
chalk,chalk,17900,https://github.com/chalk/chalk
jumpserver,jumpserver,17800,https://github.com/jumpserver/jumpserver
chubin,wttr.in,16800,https://github.com/chubin/wttr.in
yudai,gotty,16200,https://github.com/yudai/gotty
spaceship-prompt,spaceship-prompt,16000,https://github.com/spaceship-prompt/spaceship-prompt
gpakosz,.tmux,15900,https://github.com/gpakosz/.tmux
Swordfish90,cool-retro-term,15700,https://github.com/Swordfish90/cool-retro-term
allinurl,goaccess,14200,https://github.com/allinurl/goaccess
kovidgoyal,kitty,13500,https://github.com/kovidgoyal/kitty
jarun,nnn,13400,https://github.com/jarun/nnn
