username,repo_name,stars,repo_url
hashicorp,terraform,31100,https://github.com/hashicorp/terraform
bregman-arie,devops-exercises,21000,https://github.com/bregman-arie/devops-exercises
hashicorp,terraform-provider-aws,6800,https://github.com/hashicorp/terraform-provider-aws
GoogleCloudPlatform,terraformer,6600,https://github.com/GoogleCloudPlatform/terraformer
gruntwork-io,terratest,5900,https://github.com/gruntwork-io/terratest
gruntwork-io,terragrunt,5500,https://github.com/gruntwork-io/terragrunt
hobby-kube,guide,5200,https://github.com/hobby-kube/guide
khuedoan,homelab,5000,https://github.com/khuedoan/homelab
infracost,infracost,4900,https://github.com/infracost/infracost
runatlantis,atlantis,4400,https://github.com/runatlantis/atlantis
dtan4,terraforming,4200,https://github.com/dtan4/terraforming
KubeOperator,KubeOperator,4200,https://github.com/KubeOperator/KubeOperator
budtmo,docker-android,4200,https://github.com/budtmo/docker-android
aquasecurity,tfsec,3800,https://github.com/aquasecurity/tfsec
bridgecrewio,checkov,3700,https://github.com/bridgecrewio/checkov
kriasoft,relay-starter-kit,3400,https://github.com/kriasoft/relay-starter-kit
clong,DetectionLab,3300,https://github.com/clong/DetectionLab
hashicorp,terraform-cdk,3200,https://github.com/hashicorp/terraform-cdk
hashicorp,terraform-provider-azurerm,3100,https://github.com/hashicorp/terraform-provider-azurerm
tfutils,tfenv,2900,https://github.com/tfutils/tfenv
terraform-linters,tflint,2800,https://github.com/terraform-linters/tflint
accurics,terrascan,2700,https://github.com/accurics/terrascan
shuaibiyy,awesome-terraform,2700,https://github.com/shuaibiyy/awesome-terraform
airbnb,streamalert,2700,https://github.com/airbnb/streamalert
terraform-aws-modules,terraform-aws-eks,2600,https://github.com/terraform-aws-modules/terraform-aws-eks
MichaelCade,90DaysOfDevOps,2600,https://github.com/MichaelCade/90DaysOfDevOps
terraform-docs,terraform-docs,2500,https://github.com/terraform-docs/terraform-docs
dependabot,dependabot-core,2400,https://github.com/dependabot/dependabot-core
ThreeDotsLabs,wild-workouts-go-ddd-example,2100,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
Artemmkin,infrastructure-as-code-tutorial,2000,https://github.com/Artemmkin/infrastructure-as-code-tutorial
