username,repo_name,stars,repo_url
JuliaLang,julia,38000,https://github.com/JuliaLang/julia
plotly,dash,15800,https://github.com/plotly/dash
nteract,papermill,4500,https://github.com/nteract/papermill
fonsp,Pluto.jl,3600,https://github.com/fonsp/Pluto.jl
SciML,DifferentialEquations.jl,2100,https://github.com/SciML/DifferentialEquations.jl
szcf-weiya,ESL-CN,1900,https://github.com/szcf-weiya/ESL-CN
GiovineItalia,Gadfly.jl,1700,https://github.com/GiovineItalia/Gadfly.jl
grame-cncm,faust,1700,https://github.com/grame-cncm/faust
jump-dev,JuMP.jl,1600,https://github.com/jump-dev/JuMP.jl
GenieFramework,Genie.jl,1500,https://github.com/GenieFramework/Genie.jl
JuliaPlots,Plots.jl,1500,https://github.com/JuliaPlots/Plots.jl
JuliaPlots,Makie.jl,1300,https://github.com/JuliaPlots/Makie.jl
denizyuret,Knet.jl,1300,https://github.com/denizyuret/Knet.jl
alan-turing-institute,MLJ.jl,1300,https://github.com/alan-turing-institute/MLJ.jl
JuliaData,DataFrames.jl,1300,https://github.com/JuliaData/DataFrames.jl
svaksha,Julia.jl,1200,https://github.com/svaksha/Julia.jl
JuliaPy,PyCall.jl,1100,https://github.com/JuliaPy/PyCall.jl
FluxML,Zygote.jl,1100,https://github.com/FluxML/Zygote.jl
julia-vscode,julia-vscode,1000,https://github.com/julia-vscode/julia-vscode
multiprocessio,datastation,1000,https://github.com/multiprocessio/datastation
JuliaLang,PackageCompiler.jl,1000,https://github.com/JuliaLang/PackageCompiler.jl
sagemathinc,cocalc,966,https://github.com/sagemathinc/cocalc
mossr,BeautifulAlgorithms.jl,958,https://github.com/mossr/BeautifulAlgorithms.jl
jonathan-laurent,AlphaZero.jl,957,https://github.com/jonathan-laurent/AlphaZero.jl
JuliaAcademy,JuliaTutorials,936,https://github.com/JuliaAcademy/JuliaTutorials
SciML,ModelingToolkit.jl,932,https://github.com/SciML/ModelingToolkit.jl
h-Klok,StatsWithJuliaBook,916,https://github.com/h-Klok/StatsWithJuliaBook
pptacher,probabilistic_robotics,865,https://github.com/pptacher/probabilistic_robotics
malmaud,TensorFlow.jl,858,https://github.com/malmaud/TensorFlow.jl
cormullion,juliamono,858,https://github.com/cormullion/juliamono
