username,repo_name,stars,repo_url
microsoft,vscode,127000,https://github.com/microsoft/vscode
denoland,deno,80100,https://github.com/denoland/deno
angular,angular,79300,https://github.com/angular/angular
microsoft,TypeScript,77600,https://github.com/microsoft/TypeScript
ant-design,ant-design,77500,https://github.com/ant-design/ant-design
mui-org,material-ui,74800,https://github.com/mui-org/material-ui
storybookjs,storybook,68500,https://github.com/storybookjs/storybook
ionic-team,ionic-framework,46300,https://github.com/ionic-team/ionic-framework
nestjs,nest,44100,https://github.com/nestjs/nest
prettier,prettier,41700,https://github.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,37600,https://github.com/DefinitelyTyped/DefinitelyTyped
vuetifyjs,vuetify,33400,https://github.com/vuetifyjs/vuetify
typescript-cheatsheets,react,31300,https://github.com/typescript-cheatsheets/react
NervJS,taro,30400,https://github.com/NervJS/taro
evanw,esbuild,30200,https://github.com/evanw/esbuild
microsoft,monaco-editor,27900,https://github.com/microsoft/monaco-editor
typeorm,typeorm,27000,https://github.com/typeorm/typeorm
react-hook-form,react-hook-form,25700,https://github.com/react-hook-form/react-hook-form
angular,angular-cli,25200,https://github.com/angular/angular-cli
mobxjs,mobx,24800,https://github.com/mobxjs/mobx
akveo,ngx-admin,23400,https://github.com/akveo/ngx-admin
kriasoft,react-starter-kit,21100,https://github.com/kriasoft/react-starter-kit
NativeScript,NativeScript,20800,https://github.com/NativeScript/NativeScript
react-bootstrap,react-bootstrap,20400,https://github.com/react-bootstrap/react-bootstrap
prisma,prisma,20200,https://github.com/prisma/prisma
swc-project,swc,20000,https://github.com/swc-project/swc
n8n-io,n8n,20000,https://github.com/n8n-io/n8n
railsware,upterm,19400,https://github.com/railsware/upterm
electron-react-boilerplate,electron-react-boilerplate,19000,https://github.com/electron-react-boilerplate/electron-react-boilerplate
palantir,blueprint,18500,https://github.com/palantir/blueprint
