username,repo_name,stars,repo_url
Nyr,openvpn-install,14400,https://github.com/Nyr/openvpn-install
dnschneid,crouton,8000,https://github.com/dnschneid/crouton
judasn,Linux-Tutorial,7800,https://github.com/judasn/Linux-Tutorial
oguzhaninan,Stacer,7500,https://github.com/oguzhaninan/Stacer
angristan,openvpn-install,7400,https://github.com/angristan/openvpn-install
wszqkzqk,deepin-wine-ubuntu,5800,https://github.com/wszqkzqk/deepin-wine-ubuntu
adi1090x,polybar-themes,3800,https://github.com/adi1090x/polybar-themes
chef,bento,3800,https://github.com/chef/bento
anmoljagetia,Flatabulous,3700,https://github.com/anmoljagetia/Flatabulous
GetPublii,Publii,3700,https://github.com/GetPublii/Publii
boltgolt,howdy,3400,https://github.com/boltgolt/howdy
adi1090x,rofi,3000,https://github.com/adi1090x/rofi
Gictorbit,photoshopCClinux,3000,https://github.com/Gictorbit/photoshopCClinux
johang,btfs,3000,https://github.com/johang/btfs
dvorka,hstr,2900,https://github.com/dvorka/hstr
xflux-gui,fluxgui,2600,https://github.com/xflux-gui/fluxgui
teddysun,lamp,2500,https://github.com/teddysun/lamp
aptly-dev,aptly,2100,https://github.com/aptly-dev/aptly
wslutilities,wslu,2100,https://github.com/wslutilities/wslu
armbian,build,1900,https://github.com/armbian/build
jamiemcg,Remarkable,1800,https://github.com/jamiemcg/Remarkable
dvorka,mindforger,1700,https://github.com/dvorka/mindforger
davestephens,ansible-nas,1700,https://github.com/davestephens/ansible-nas
plexguide,PlexGuide.com,1600,https://github.com/plexguide/PlexGuide.com
piku,piku,1600,https://github.com/piku/piku
GhostWriters,DockSTARTer,1600,https://github.com/GhostWriters/DockSTARTer
chaifeng,ufw-docker,1600,https://github.com/chaifeng/ufw-docker
vinceliuice,vimix-gtk-themes,1500,https://github.com/vinceliuice/vimix-gtk-themes
scottslowe,learning-tools,1300,https://github.com/scottslowe/learning-tools
Nyr,wireguard-install,1300,https://github.com/Nyr/wireguard-install
