username,repo_name,stars,repo_url
icsharpcode,ILSpy,14300,https://github.com/icsharpcode/ILSpy
Unity-Technologies,ml-agents,12300,https://github.com/Unity-Technologies/ml-agents
lettier,3d-game-shaders-for-beginners,12000,https://github.com/lettier/3d-game-shaders-for-beginners
Perfare,AssetStudio,7500,https://github.com/Perfare/AssetStudio
Tencent,xLua,7300,https://github.com/Tencent/xLua
rocksdanister,lively,6100,https://github.com/rocksdanister/lively
neuecc,UniRx,5600,https://github.com/neuecc/UniRx
sschmid,Entitas-CSharp,5400,https://github.com/sschmid/Entitas-CSharp
egametang,ET,5400,https://github.com/egametang/ET
microsoft,MixedRealityToolkit-Unity,4900,https://github.com/microsoft/MixedRealityToolkit-Unity
RyanNielson,awesome-unity,4800,https://github.com/RyanNielson/awesome-unity
toly1994328,FlutterUnit,4600,https://github.com/toly1994328/FlutterUnit
UnityTechnologies,open-project-1,4300,https://github.com/UnityTechnologies/open-project-1
MFatihMAR,Game-Networking-Resources,4300,https://github.com/MFatihMAR/Game-Networking-Resources
jynew,jynew,4200,https://github.com/jynew/jynew
neuecc,MessagePack-CSharp,3700,https://github.com/neuecc/MessagePack-CSharp
michidk,Unity-Script-Collection,3700,https://github.com/michidk/Unity-Script-Collection
anmoljagetia,Flatabulous,3700,https://github.com/anmoljagetia/Flatabulous
Unity-Technologies,PostProcessing,3500,https://github.com/Unity-Technologies/PostProcessing
mob-sakai,UIEffect,3500,https://github.com/mob-sakai/UIEffect
marian42,wavefunctioncollapse,3500,https://github.com/marian42/wavefunctioncollapse
Perfare,Il2CppDumper,3500,https://github.com/Perfare/Il2CppDumper
ExtendRealityLtd,VRTK,3500,https://github.com/ExtendRealityLtd/VRTK
EllanJiang,GameFramework,3400,https://github.com/EllanJiang/GameFramework
ketoo,NoahGameFrame,3300,https://github.com/ketoo/NoahGameFrame
simoninithomas,Deep_reinforcement_learning_Course,3300,https://github.com/simoninithomas/Deep_reinforcement_learning_Course
ColinLeung-NiloCat,UnityURPToonLitShaderExample,3100,https://github.com/ColinLeung-NiloCat/UnityURPToonLitShaderExample
vis2k,Mirror,3000,https://github.com/vis2k/Mirror
pardeike,Harmony,3000,https://github.com/pardeike/Harmony
zalo,MathUtilities,2900,https://github.com/zalo/MathUtilities
