username,repo_name,stars,repo_url
microsoft,AirSim,12700,https://github.com/microsoft/AirSim
heroiclabs,nakama,5400,https://github.com/heroiclabs/nakama
MFatihMAR,Game-Networking-Resources,4300,https://github.com/MFatihMAR/Game-Networking-Resources
Allar,ue5-style-guide,2800,https://github.com/Allar/ue5-style-guide
nxrighthere,UnrealCLR,1800,https://github.com/nxrighthere/UnrealCLR
lgsvl,simulator,1700,https://github.com/lgsvl/simulator
tomlooman,ActionRoguelike,1600,https://github.com/tomlooman/ActionRoguelike
gildor2,UEViewer,1400,https://github.com/gildor2/UEViewer
Tencent,sluaunreal,1400,https://github.com/Tencent/sluaunreal
xavier150,Blender-For-UnrealEngine-Addons,1100,https://github.com/xavier150/Blender-For-UnrealEngine-Addons
Phyronnaz,VoxelPlugin,1100,https://github.com/Phyronnaz/VoxelPlugin
TriAxis-Games,RuntimeMeshComponent,1100,https://github.com/TriAxis-Games/RuntimeMeshComponent
Gforcex,OpenGraphic,1100,https://github.com/Gforcex/OpenGraphic
dyanikoglu,ALS-Community,909,https://github.com/dyanikoglu/ALS-Community
getnamo,tensorflow-ue4,884,https://github.com/getnamo/tensorflow-ue4
iniside,ActionRPGGame,856,https://github.com/iniside/ActionRPGGame
ufna,VaRest,821,https://github.com/ufna/VaRest
ashea-code,BLUI,814,https://github.com/ashea-code/BLUI
AsPJT,DungeonTemplateLibrary,773,https://github.com/AsPJT/DungeonTemplateLibrary
ProjectBorealis,PBCharacterMovement,729,https://github.com/ProjectBorealis/PBCharacterMovement
deepdrive,deepdrive,726,https://github.com/deepdrive/deepdrive
Harrison1,unrealcpp,686,https://github.com/Harrison1/unrealcpp
sideeffects,HoudiniEngineForUnreal,657,https://github.com/sideeffects/HoudiniEngineForUnreal
SRombauts,UE4GitPlugin,621,https://github.com/SRombauts/UE4GitPlugin
iAmAsval,FModel,540,https://github.com/iAmAsval/FModel
adamrehn,ue4-docker,534,https://github.com/adamrehn/ue4-docker
Pantong51,GASContent,527,https://github.com/Pantong51/GASContent
BYU-PCCL,holodeck,526,https://github.com/BYU-PCCL/holodeck
bw2012,UE4VoxelTerrain,475,https://github.com/bw2012/UE4VoxelTerrain
ryanjon2040,Unreal-Binary-Builder,442,https://github.com/ryanjon2040/Unreal-Binary-Builder
