username,repo_name,stars,repo_url
hashicorp,vagrant,23300,https://github.com/hashicorp/vagrant
geerlingguy,ansible-for-devops,5400,https://github.com/geerlingguy/ansible-for-devops
Varying-Vagrant-Vagrants,VVV,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
chef,bento,3800,https://github.com/chef/bento
clong,DetectionLab,3300,https://github.com/clong/DetectionLab
ServiceStack,redis-windows,2600,https://github.com/ServiceStack/redis-windows
roots,trellis,2300,https://github.com/roots/trellis
ianmiell,shutit,2100,https://github.com/ianmiell/shutit
leucos,ansible-tuto,2000,https://github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,2000,https://github.com/Artemmkin/infrastructure-as-code-tutorial
vagrant-libvirt,vagrant-libvirt,1900,https://github.com/vagrant-libvirt/vagrant-libvirt
geerlingguy,ansible-vagrant-examples,1900,https://github.com/geerlingguy/ansible-vagrant-examples
rootsongjc,kubernetes-vagrant-centos-cluster,1800,https://github.com/rootsongjc/kubernetes-vagrant-centos-cluster
geerlingguy,drupal-vm,1400,https://github.com/geerlingguy/drupal-vm
scottslowe,learning-tools,1300,https://github.com/scottslowe/learning-tools
magma,magma,1200,https://github.com/magma/magma
timsutton,osx-vm-templates,1100,https://github.com/timsutton/osx-vm-templates
hypriot,image-builder-rpi,1000,https://github.com/hypriot/image-builder-rpi
vccw-team,vccw,1000,https://github.com/vccw-team/vccw
StefanScherer,packer-windows,976,https://github.com/StefanScherer/packer-windows
GoSecure,malboxes,949,https://github.com/GoSecure/malboxes
Parallels,vagrant-parallels,926,https://github.com/Parallels/vagrant-parallels
uber-common,metta,924,https://github.com/uber-common/metta
StefanScherer,windows-docker-machine,788,https://github.com/StefanScherer/windows-docker-machine
r8,vagrant-lamp,762,https://github.com/r8/vagrant-lamp
oracle,vagrant-projects,733,https://github.com/oracle/vagrant-projects
vagrant-landrush,landrush,671,https://github.com/vagrant-landrush/landrush
bacongravy,macinbox,644,https://github.com/bacongravy/macinbox
phansible,phansible,638,https://github.com/phansible/phansible
Sliim,pentest-env,624,https://github.com/Sliim/pentest-env
