username,repo_name,stars,repo_url
neovim,neovim,50400,https://github.com/neovim/neovim
junegunn,fzf,41800,https://github.com/junegunn/fzf
LeCoupa,awesome-cheatsheets,26600,https://github.com/LeCoupa/awesome-cheatsheets
junegunn,vim-plug,26200,https://github.com/junegunn/vim-plug
vim,vim,26000,https://github.com/vim/vim
ycm-core,YouCompleteMe,23600,https://github.com/ycm-core/YouCompleteMe
syl20bnr,spacemacs,22000,https://github.com/syl20bnr/spacemacs
neoclide,coc.nvim,18700,https://github.com/neoclide/coc.nvim
SpaceVim,SpaceVim,17700,https://github.com/SpaceVim/SpaceVim
preservim,nerdtree,16600,https://github.com/preservim/nerdtree
vim-airline,vim-airline,16000,https://github.com/vim-airline/vim-airline
fatih,vim-go,14200,https://github.com/fatih/vim-go
mhinz,vim-galore,13500,https://github.com/mhinz/vim-galore
jarun,nnn,13400,https://github.com/jarun/nnn
hlissner,doom-emacs,13200,https://github.com/hlissner/doom-emacs
powerline,powerline,13100,https://github.com/powerline/powerline
dense-analysis,ale,11500,https://github.com/dense-analysis/ale
onivim,oni,11500,https://github.com/onivim/oni
ranger,ranger,10900,https://github.com/ranger/ranger
VSCodeVim,Vim,9900,https://github.com/VSCodeVim/Vim
vnotex,vnote,8900,https://github.com/vnotex/vnote
wsdjeg,vim-galore-zh_cn,8800,https://github.com/wsdjeg/vim-galore-zh_cn
skywind3000,awesome-cheatsheets,8100,https://github.com/skywind3000/awesome-cheatsheets
NvChad,NvChad,7800,https://github.com/NvChad/NvChad
mawww,kakoune,7800,https://github.com/mawww/kakoune
junegunn,fzf.vim,7600,https://github.com/junegunn/fzf.vim
qutebrowser,qutebrowser,7500,https://github.com/qutebrowser/qutebrowser
airblade,vim-gitgutter,7400,https://github.com/airblade/vim-gitgutter
iggredible,Learn-Vim,7400,https://github.com/iggredible/Learn-Vim
atlas-engineer,nyxt,7200,https://github.com/atlas-engineer/nyxt
