username,repo_name,stars,repo_url
mrdoob,three.js,78500,https://github.com/mrdoob/three.js
aframevr,aframe,13700,https://github.com/aframevr/aframe
bulletphysics,bullet3,8900,https://github.com/bulletphysics/bullet3
playcanvas,engine,7100,https://github.com/playcanvas/engine
relativty,Relativty,5600,https://github.com/relativty/Relativty
ExtendRealityLtd,VRTK,3500,https://github.com/ExtendRealityLtd/VRTK
immersive-web,webxr,2400,https://github.com/immersive-web/webxr
viromedia,viro,1800,https://github.com/viromedia/viro
maartenbreddels,ipyvolume,1700,https://github.com/maartenbreddels/ipyvolume
aframevr,awesome-aframe,1300,https://github.com/aframevr/awesome-aframe
supermedium,aframe-react,1300,https://github.com/supermedium/aframe-react
bjornbytes,lovr,1200,https://github.com/bjornbytes/lovr
supermedium,superframe,1200,https://github.com/supermedium/superframe
letoram,arcan,1000,https://github.com/letoram/arcan
the3deers,android-3D-model-viewer,1000,https://github.com/the3deers/android-3D-model-viewer
networked-aframe,networked-aframe,907,https://github.com/networked-aframe/networked-aframe
exokitxr,exokit,887,https://github.com/exokitxr/exokit
reinterpretcat,utymap,859,https://github.com/reinterpretcat/utymap
AsPJT,DungeonTemplateLibrary,773,https://github.com/AsPJT/DungeonTemplateLibrary
aestheticinteractive,Hover-UI-Kit,705,https://github.com/aestheticinteractive/Hover-UI-Kit
praydog,REFramework,661,https://github.com/praydog/REFramework
immersive-web,webxr-samples,654,https://github.com/immersive-web/webxr-samples
fabio914,RealityMixer,639,https://github.com/fabio914/RealityMixer
aframevr,a-painter,577,https://github.com/aframevr/a-painter
omgmog,uxofvr.com,531,https://github.com/omgmog/uxofvr.com
aframevr,aframe-inspector,526,https://github.com/aframevr/aframe-inspector
matryx,calcflow,477,https://github.com/matryx/calcflow
microsoft,MapsSDK-Unity,415,https://github.com/microsoft/MapsSDK-Unity
Project-Splinter,MonoPort,406,https://github.com/Project-Splinter/MonoPort
KhronosGroup,OpenXR-SDK,398,https://github.com/KhronosGroup/OpenXR-SDK
