username,repo_name,stars,repo_url
storybookjs,storybook,68500,https://github.com/storybookjs/storybook
Polymer,polymer,21700,https://github.com/Polymer/polymer
Tencent,omi,12200,https://github.com/Tencent/omi
rough-stuff,wired-elements,8900,https://github.com/rough-stuff/wired-elements
microsoft,fast,6600,https://github.com/microsoft/fast
vmware,clarity,6400,https://github.com/vmware/clarity
andreasbm,web-skills,5300,https://github.com/andreasbm/web-skills
skatejs,skatejs,3200,https://github.com/skatejs/skatejs
yued-fe,lulu,2400,https://github.com/yued-fe/lulu
github,time-elements,2300,https://github.com/github/time-elements
matthewp,haunted,2200,https://github.com/matthewp/haunted
github,github-elements,2100,https://github.com/github/github-elements
vime-js,vime,2000,https://github.com/vime-js/vime
karol-f,vue-custom-element,1900,https://github.com/karol-f/vue-custom-element
openui,open-ui,1700,https://github.com/openui/open-ui
open-wc,open-wc,1700,https://github.com/open-wc/open-wc
ing-bank,lion,1300,https://github.com/ing-bank/lion
Polymer,polymer-bundler,1200,https://github.com/Polymer/polymer-bundler
wix,stylable,1100,https://github.com/wix/stylable
SAP,ui5-webcomponents,1100,https://github.com/SAP/ui5-webcomponents
XboxYan,xy-ui,810,https://github.com/XboxYan/xy-ui
tbranyen,diffhtml,806,https://github.com/tbranyen/diffhtml
GoogleChromeLabs,dark-mode-toggle,770,https://github.com/GoogleChromeLabs/dark-mode-toggle
nolanlawson,emoji-picker-element,752,https://github.com/nolanlawson/emoji-picker-element
microsoft,fast-blazor,749,https://github.com/microsoft/fast-blazor
github,details-dialog-element,688,https://github.com/github/details-dialog-element
lume,lume,663,https://github.com/lume/lume
microsoftgraph,microsoft-graph-toolkit,641,https://github.com/microsoftgraph/microsoft-graph-toolkit
ionic-team,ionic-pwa-toolkit,632,https://github.com/ionic-team/ionic-pwa-toolkit
elix,elix,629,https://github.com/elix/elix
