username,repo_name,stars,repo_url
donnemartin,system-design-primer,160000,https://github.com/donnemartin/system-design-primer
tipsy,profile-summary-for-github,19500,https://github.com/tipsy/profile-summary-for-github
dexteryy,spellbook-of-modern-webdev,14000,https://github.com/dexteryy/spellbook-of-modern-webdev
louislam,uptime-kuma,12500,https://github.com/louislam/uptime-kuma
mickael-kerjean,filestash,5500,https://github.com/mickael-kerjean/filestash
jagenjo,webglstudio.js,4500,https://github.com/jagenjo/webglstudio.js
miguelgrinberg,microblog,3800,https://github.com/miguelgrinberg/microblog
didi,mpx,2900,https://github.com/didi/mpx
h2oai,wave,2800,https://github.com/h2oai/wave
toolswatch,blackhat-arsenal-tools,2700,https://github.com/toolswatch/blackhat-arsenal-tools
tiangolo,uwsgi-nginx-flask-docker,2600,https://github.com/tiangolo/uwsgi-nginx-flask-docker
modern-js-dev,modern.js,2400,https://github.com/modern-js-dev/modern.js
jakubroztocil,cloudtunes,2400,https://github.com/jakubroztocil/cloudtunes
nisrulz,app-privacy-policy-generator,2400,https://github.com/nisrulz/app-privacy-policy-generator
MarnoDev,react-native-open-project,2300,https://github.com/MarnoDev/react-native-open-project
ulisesbocchio,jasypt-spring-boot,2000,https://github.com/ulisesbocchio/jasypt-spring-boot
shadowwalker,next-pwa,2000,https://github.com/shadowwalker/next-pwa
samuelmaddock,metastream,2000,https://github.com/samuelmaddock/metastream
nitin42,terminal-in-react,1900,https://github.com/nitin42/terminal-in-react
H-M-H,Weylus,1900,https://github.com/H-M-H/Weylus
saschagrunert,webapp.rs,1900,https://github.com/saschagrunert/webapp.rs
bobiscool,wxDraw,1600,https://github.com/bobiscool/wxDraw
ever-co,ever-traduora,1600,https://github.com/ever-co/ever-traduora
ExpDev07,coronavirus-tracker-api,1600,https://github.com/ExpDev07/coronavirus-tracker-api
dbeaver,cloudbeaver,1400,https://github.com/dbeaver/cloudbeaver
snorpey,jpg-glitch,1200,https://github.com/snorpey/jpg-glitch
jrieke,traingenerator,1100,https://github.com/jrieke/traingenerator
nsfw-filter,nsfw-filter,1100,https://github.com/nsfw-filter/nsfw-filter
oliver-gomes,csswand,1100,https://github.com/oliver-gomes/csswand
cryptii,cryptii,1100,https://github.com/cryptii/cryptii
