username,repo_name,stars,repo_url
PanJiaChen,vue-element-admin,73900,https://github.com/PanJiaChen/vue-element-admin
storybookjs,storybook,68500,https://github.com/storybookjs/storybook
webpack,webpack,60300,https://github.com/webpack/webpack
bailicangdu,vue2-elm,37500,https://github.com/bailicangdu/vue2-elm
akveo,ngx-admin,23400,https://github.com/akveo/ngx-admin
markerikson,react-redux-links,21300,https://github.com/markerikson/react-redux-links
kriasoft,react-starter-kit,21100,https://github.com/kriasoft/react-starter-kit
jhipster,generator-jhipster,19300,https://github.com/jhipster/generator-jhipster
electron-react-boilerplate,electron-react-boilerplate,19000,https://github.com/electron-react-boilerplate/electron-react-boilerplate
verekia,js-stack-from-scratch,18800,https://github.com/verekia/js-stack-from-scratch
mojs,mojs,17300,https://github.com/mojs/mojs
alibaba,ice,17000,https://github.com/alibaba/ice
jamiebuilds,react-loadable,16300,https://github.com/jamiebuilds/react-loadable
SimulatedGREG,electron-vue,14700,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14200,https://github.com/grab/front-end-guide
FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
webpack-contrib,webpack-bundle-analyzer,11600,https://github.com/webpack-contrib/webpack-bundle-analyzer
bailicangdu,vue2-manage,11400,https://github.com/bailicangdu/vue2-manage
d2-projects,d2-admin,11200,https://github.com/d2-projects/d2-admin
jaredpalmer,razzle,10600,https://github.com/jaredpalmer/razzle
PatrickJS,angular-starter,10400,https://github.com/PatrickJS/angular-starter
jantimon,html-webpack-plugin,10000,https://github.com/jantimon/html-webpack-plugin
ksky521,nodeppt,9600,https://github.com/ksky521/nodeppt
aui,art-template,9600,https://github.com/aui/art-template
timarney,react-app-rewired,8700,https://github.com/timarney/react-app-rewired
gregberge,svgr,8400,https://github.com/gregberge/svgr
akveo,nebular,7400,https://github.com/akveo/nebular
webpack,webpack-dev-server,7300,https://github.com/webpack/webpack-dev-server
chrisvfritz,prerender-spa-plugin,7100,https://github.com/chrisvfritz/prerender-spa-plugin
pastelsky,bundlephobia,6700,https://github.com/pastelsky/bundlephobia
