username,repo_name,stars,repo_url
flutter,flutter,135000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,102000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,84700,https://github.com/nodejs/node
microsoft,PowerToys,67300,https://github.com/microsoft/PowerToys
atom,atom,56700,https://github.com/atom/atom
x64dbg,x64dbg,38000,https://github.com/x64dbg/x64dbg
alacritty,alacritty,37200,https://github.com/alacritty/alacritty
GitSquared,edex-ui,34900,https://github.com/GitSquared/edex-ui
FiloSottile,mkcert,33500,https://github.com/FiloSottile/mkcert
Alvin9999,new-pac,32299,https://github.com/Alvin9999/new-pac
PowerShell,PowerShell,31900,https://github.com/PowerShell/PowerShell
ventoy,Ventoy,30500,https://github.com/ventoy/Ventoy
agalwood,Motrix,29900,https://github.com/agalwood/Motrix
nativefier,nativefier,29700,https://github.com/nativefier/nativefier
sherlock-project,sherlock,29200,https://github.com/sherlock-project/sherlock
marktext,marktext,28700,https://github.com/marktext/marktext
nylas,nylas-mail,24600,https://github.com/nylas/nylas-mail
microsoft,calculator,23500,https://github.com/microsoft/calculator
Wox-launcher,Wox,21300,https://github.com/Wox-launcher/Wox
libgdx,libgdx,19600,https://github.com/libgdx/libgdx
coreybutler,nvm-windows,19300,https://github.com/coreybutler/nvm-windows
files-community,Files,19200,https://github.com/files-community/Files
notable,notable,19100,https://github.com/notable/notable
libuv,libuv,18800,https://github.com/libuv/libuv
Awesome-Windows,Awesome,17900,https://github.com/Awesome-Windows/Awesome
BoostIO,BoostNote-Legacy,17400,https://github.com/BoostIO/BoostNote-Legacy
pbatard,rufus,17300,https://github.com/pbatard/rufus
microsoft,winget-cli,16200,https://github.com/microsoft/winget-cli
cocos2d,cocos2d-x,15800,https://github.com/cocos2d/cocos2d-x
notepad-plus-plus,notepad-plus-plus,15100,https://github.com/notepad-plus-plus/notepad-plus-plus
