username,repo_name,stars,repo_url
benweet,stackedit,18900,https://github.com/benweet/stackedit
digitalocean,nginxconfig.io,15200,https://github.com/digitalocean/nginxconfig.io
Automattic,wp-calypso,12000,https://github.com/Automattic/wp-calypso
roots,sage,11600,https://github.com/roots/sage
woocommerce,woocommerce,7600,https://github.com/woocommerce/woocommerce
WordPress,gutenberg,7500,https://github.com/WordPress/gutenberg
wpscanteam,wpscan,6300,https://github.com/wpscanteam/wpscan
roots,bedrock,5500,https://github.com/roots/bedrock
timber,timber,5000,https://github.com/timber/timber
Varying-Vagrant-Vagrants,VVV,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
wp-cli,wp-cli,4500,https://github.com/wp-cli/wp-cli
postlight,headless-wp-starter,4200,https://github.com/postlight/headless-wp-starter
corcel,corcel,3500,https://github.com/corcel/corcel
wp-bootstrap,wp-bootstrap-navwalker,3300,https://github.com/wp-bootstrap/wp-bootstrap-navwalker
wordpress-mobile,WordPress-iOS,3300,https://github.com/wordpress-mobile/WordPress-iOS
lando,lando,3200,https://github.com/lando/lando
wp-graphql,wp-graphql,3100,https://github.com/wp-graphql/wp-graphql
ahmadawais,create-guten-block,3100,https://github.com/ahmadawais/create-guten-block
olefredrik,FoundationPress,2800,https://github.com/olefredrik/FoundationPress
CMB2,CMB2,2700,https://github.com/CMB2/CMB2
wordpress-mobile,WordPress-Android,2600,https://github.com/wordpress-mobile/WordPress-Android
frontity,frontity,2600,https://github.com/frontity/frontity
versionpress,versionpress,2500,https://github.com/versionpress/versionpress
mashirozx,sakura,2500,https://github.com/mashirozx/sakura
roots,trellis,2300,https://github.com/roots/trellis
Tuhinshubhra,RED_HAWK,1900,https://github.com/Tuhinshubhra/RED_HAWK
solstice23,argon-theme,1900,https://github.com/solstice23/argon-theme
EasyEngine,easyengine,1900,https://github.com/EasyEngine/easyengine
GSA,data.gov,1900,https://github.com/GSA/data.gov
welaika,wordmove,1800,https://github.com/welaika/wordmove
