username,repo_name,stars,repo_url
SheetJS,sheetjs,28900,https://github.com/SheetJS/sheetjs
xbmc,xbmc,13400,https://github.com/xbmc/xbmc
jhy,jsoup,9300,https://github.com/jhy/jsoup
dbohdan,structured-text-tools,6200,https://github.com/dbohdan/structured-text-tools
pocoproject,poco,5800,https://github.com/pocoproject/poco
sparklemotion,nokogiri,5800,https://github.com/sparklemotion/nokogiri
rest-assured,rest-assured,5700,https://github.com/rest-assured/rest-assured
reactiveui,refit,5700,https://github.com/reactiveui/refit
mledoze,countries,5400,https://github.com/mledoze/countries
ServiceStack,ServiceStack,5000,https://github.com/ServiceStack/ServiceStack
mikefarah,yq,5000,https://github.com/mikefarah/yq
wiremock,wiremock,4900,https://github.com/wiremock/wiremock
theseer,tokenizer,4800,https://github.com/theseer/tokenizer
Leonidas-from-XIV,node-xml2js,4400,https://github.com/Leonidas-from-XIV/node-xml2js
tboox,tbox,3800,https://github.com/tboox/tbox
fb55,htmlparser2,3300,https://github.com/fb55/htmlparser2
JavaNoober,BackgroundLibrary,3200,https://github.com/JavaNoober/BackgroundLibrary
troyeguo,koodo-reader,3200,https://github.com/troyeguo/koodo-reader
florent37,ShapeOfView,3000,https://github.com/florent37/ShapeOfView
php-curl-class,php-curl-class,2900,https://github.com/php-curl-class/php-curl-class
tdewolff,minify,2900,https://github.com/tdewolff/minify
zeux,pugixml,2900,https://github.com/zeux/pugixml
posthtml,posthtml,2700,https://github.com/posthtml/posthtml
substance,substance,2700,https://github.com/substance/substance
mattt,Ono,2600,https://github.com/mattt/Ono
dr5hn,countries-states-cities-database,2500,https://github.com/dr5hn/countries-states-cities-database
elvishew,xLog,2500,https://github.com/elvishew/xLog
thymeleaf,thymeleaf,2300,https://github.com/thymeleaf/thymeleaf
acl-dev,acl,2100,https://github.com/acl-dev/acl
symfony,serializer,2000,https://github.com/symfony/serializer
