username,repo_name,stars,repo_url
dotnet-architecture,eShopOnContainers,19700,https://github.com/dotnet-architecture/eShopOnContainers
mono,mono,9700,https://github.com/mono/mono
reactiveui,ReactiveUI,6800,https://github.com/reactiveui/ReactiveUI
unoplatform,uno,6200,https://github.com/unoplatform/uno
reactiveui,refit,5700,https://github.com/reactiveui/refit
xamarin,Xamarin.Forms,5500,https://github.com/xamarin/Xamarin.Forms
NLog,NLog,5400,https://github.com/NLog/NLog
xamarin,xamarin-forms-samples,4100,https://github.com/xamarin/xamarin-forms-samples
neuecc,MessagePack-CSharp,3700,https://github.com/neuecc/MessagePack-CSharp
MvvmCross,MvvmCross,3600,https://github.com/MvvmCross/MvvmCross
bitwarden,mobile,3300,https://github.com/bitwarden/mobile
migueldeicaza,TensorFlowSharp,3000,https://github.com/migueldeicaza/TensorFlowSharp
mono,SkiaSharp,2600,https://github.com/mono/SkiaSharp
Caliburn-Micro,Caliburn.Micro,2400,https://github.com/Caliburn-Micro/Caliburn.Micro
jsuarezruiz,xamarin-forms-goodlooking-UI,2300,https://github.com/jsuarezruiz/xamarin-forms-goodlooking-UI
mono,CppSharp,2300,https://github.com/mono/CppSharp
reactiveui,Akavache,2200,https://github.com/reactiveui/Akavache
xamarin,xamarin-macios,2100,https://github.com/xamarin/xamarin-macios
XamSome,awesome-xamarin,1800,https://github.com/XamSome/awesome-xamarin
microcharts-dotnet,Microcharts,1700,https://github.com/microcharts-dotnet/Microcharts
xamarin,ios-samples,1500,https://github.com/xamarin/ios-samples
NLua,NLua,1500,https://github.com/NLua/NLua
xamarin,Essentials,1500,https://github.com/xamarin/Essentials
luberda-molinet,FFImageLoading,1400,https://github.com/luberda-molinet/FFImageLoading
jamesmontemagno,Xamarin.Plugins,1300,https://github.com/jamesmontemagno/Xamarin.Plugins
Baseflow,LottieXamarin,1200,https://github.com/Baseflow/LottieXamarin
beto-rodriguez,LiveCharts2,1100,https://github.com/beto-rodriguez/LiveCharts2
microsoft,AdaptiveCards,1100,https://github.com/microsoft/AdaptiveCards
lbugnion,mvvmlight,1100,https://github.com/lbugnion/mvvmlight
rotorgames,Rg.Plugins.Popup,1100,https://github.com/rotorgames/Rg.Plugins.Popup
