username,repo_name,stars,repo_url
flutter,flutter,135000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,86700,https://github.com/justjavac/free-programming-books-zh_CN
ionic-team,ionic-framework,46300,https://github.com/ionic-team/ionic-framework
google,material-design-icons,44900,https://github.com/google/material-design-icons
Solido,awesome-flutter,39200,https://github.com/Solido/awesome-flutter
vsouza,awesome-ios,38900,https://github.com/vsouza/awesome-ios
fastlane,fastlane,34000,https://github.com/fastlane/fastlane
FiloSottile,mkcert,33500,https://github.com/FiloSottile/mkcert
Alvin9999,new-pac,32299,https://github.com/Alvin9999/new-pac
xitu,gold-miner,30100,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29900,https://github.com/bilibili/ijkplayer
dkhamsing,open-source-ios-apps,29200,https://github.com/dkhamsing/open-source-ios-apps
SheetJS,sheetjs,28900,https://github.com/SheetJS/sheetjs
SDWebImage,SDWebImage,24000,https://github.com/SDWebImage/SDWebImage
airbnb,lottie-ios,22400,https://github.com/airbnb/lottie-ios
react-native-elements,react-native-elements,21900,https://github.com/react-native-elements/react-native-elements
ultralytics,yolov5,21700,https://github.com/ultralytics/yolov5
ReactiveX,RxSwift,21600,https://github.com/ReactiveX/RxSwift
matteocrippa,awesome-swift,21600,https://github.com/matteocrippa/awesome-swift
NativeScript,NativeScript,20800,https://github.com/NativeScript/NativeScript
HeroTransitions,Hero,20600,https://github.com/HeroTransitions/Hero
quasarframework,quasar,20400,https://github.com/quasarframework/quasar
onevcat,Kingfisher,19700,https://github.com/onevcat/Kingfisher
libgdx,libgdx,19600,https://github.com/libgdx/libgdx
didi,DoraemonKit,18400,https://github.com/didi/DoraemonKit
nikitavoloboev,my-mac-os,18400,https://github.com/nikitavoloboev/my-mac-os
alibaba,weex,17800,https://github.com/alibaba/weex
GeekyAnts,NativeBase,17000,https://github.com/GeekyAnts/NativeBase
framework7io,framework7,16600,https://github.com/framework7io/framework7
iampawan,FlutterExampleApps,16200,https://github.com/iampawan/FlutterExampleApps
