username,repo_name,stars,repo_url
jquery,jquery,55800,https://github.com/jquery/jquery
alvarotrigo,fullPage.js,33100,https://github.com/alvarotrigo/fullPage.js
NervJS,taro,30400,https://github.com/NervJS/taro
select2,select2,25200,https://github.com/select2/select2
cheeriojs,cheerio,24700,https://github.com/cheeriojs/cheerio
nhn,tui.editor,14200,https://github.com/nhn/tui.editor
pandao,editor.md,11800,https://github.com/pandao/editor.md
jessepollak,card,11400,https://github.com/jessepollak/card
PuerkitoBio,goquery,11100,https://github.com/PuerkitoBio/goquery
jquery,jquery-ui,11000,https://github.com/jquery/jquery-ui
jquery-validation,jquery-validation,10100,https://github.com/jquery-validation/jquery-validation
nhn,tui.calendar,9600,https://github.com/nhn/tui.calendar
snapappointments,bootstrap-select,9500,https://github.com/snapappointments/bootstrap-select
fengyuanchen,cropper,7800,https://github.com/fengyuanchen/cropper
fancyapps,fancybox,7200,https://github.com/fancyapps/fancybox
olton,Metro-UI-CSS,6800,https://github.com/olton/Metro-UI-CSS
AllThingsSmitty,must-watch-javascript,6600,https://github.com/AllThingsSmitty/must-watch-javascript
bda-research,node-crawler,6100,https://github.com/bda-research/node-crawler
fabiospampinato,cash,5800,https://github.com/fabiospampinato/cash
yujiosaka,headless-chrome-crawler,5200,https://github.com/yujiosaka/headless-chrome-crawler
jquery-form,form,5100,https://github.com/jquery-form/form
kartik-v,bootstrap-fileinput,5100,https://github.com/kartik-v/bootstrap-fileinput
givanz,VvvebJs,4700,https://github.com/givanz/VvvebJs
bigskysoftware,intercooler-js,4700,https://github.com/bigskysoftware/intercooler-js
olifolkerd,tabulator,4400,https://github.com/olifolkerd/tabulator
benpickles,peity,4200,https://github.com/benpickles/peity
AllThingsSmitty,jquery-tips-everyone-should-know,4200,https://github.com/AllThingsSmitty/jquery-tips-everyone-should-know
yajra,laravel-datatables,4200,https://github.com/yajra/laravel-datatables
alvarotrigo,pagePiling.js,4000,https://github.com/alvarotrigo/pagePiling.js
oblac,jodd,3800,https://github.com/oblac/jodd
