username,repo_name,stars,repo_url
flutter,flutter,135000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,102000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,84700,https://github.com/nodejs/node
atom,atom,56700,https://github.com/atom/atom
jaywcjlove,awesome-mac,47400,https://github.com/jaywcjlove/awesome-mac
vercel,hyper,37800,https://github.com/vercel/hyper
alacritty,alacritty,37200,https://github.com/alacritty/alacritty
GitSquared,edex-ui,34900,https://github.com/GitSquared/edex-ui
FiloSottile,mkcert,33500,https://github.com/FiloSottile/mkcert
PowerShell,PowerShell,31900,https://github.com/PowerShell/PowerShell
Homebrew,brew,30800,https://github.com/Homebrew/brew
shadowsocks,ShadowsocksX-NG,30100,https://github.com/shadowsocks/ShadowsocksX-NG
agalwood,Motrix,29900,https://github.com/agalwood/Motrix
nativefier,nativefier,29700,https://github.com/nativefier/nativefier
serhii-londar,open-source-mac-os-apps,29300,https://github.com/serhii-londar/open-source-mac-os-apps
sherlock-project,sherlock,29200,https://github.com/sherlock-project/sherlock
iina,iina,29100,https://github.com/iina/iina
marktext,marktext,28700,https://github.com/marktext/marktext
mathiasbynens,dotfiles,27400,https://github.com/mathiasbynens/dotfiles
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
nylas,nylas-mail,24600,https://github.com/nylas/nylas-mail
SDWebImage,SDWebImage,24000,https://github.com/SDWebImage/SDWebImage
sickcodes,Docker-OSX,21200,https://github.com/sickcodes/Docker-OSX
onevcat,Kingfisher,19700,https://github.com/onevcat/Kingfisher
MustangYM,WeChatExtension-ForMac,18800,https://github.com/MustangYM/WeChatExtension-ForMac
drduh,macOS-Security-and-Privacy-Guide,18800,https://github.com/drduh/macOS-Security-and-Privacy-Guide
nikitavoloboev,my-mac-os,18400,https://github.com/nikitavoloboev/my-mac-os
BoostIO,BoostNote-Legacy,17400,https://github.com/BoostIO/BoostNote-Legacy
Swordfish90,cool-retro-term,15700,https://github.com/Swordfish90/cool-retro-term
hzlzh,Best-App,15300,https://github.com/hzlzh/Best-App
