username,repo_name,stars,repo_url
goldbergyoni,nodebestpractices,74200,https://github.com/goldbergyoni/nodebestpractices
meteor,meteor,42800,https://github.com/meteor/meteor
yarnpkg,yarn,40400,https://github.com/yarnpkg/yarn
lerna,lerna,31500,https://github.com/lerna/lerna
pnpm,pnpm,15100,https://github.com/pnpm/pnpm
verdaccio,verdaccio,12900,https://github.com/verdaccio/verdaccio
jaredpalmer,tsdx,9200,https://github.com/jaredpalmer/tsdx
astrit,css.gg,8200,https://github.com/astrit/css.gg
miniMAC,magic,7300,https://github.com/miniMAC/magic
renovatebot,renovate,7200,https://github.com/renovatebot/renovate
raineorshine,npm-check-updates,6700,https://github.com/raineorshine/npm-check-updates
sindresorhus,np,6500,https://github.com/sindresorhus/np
voidcosmos,npkill,5500,https://github.com/voidcosmos/npkill
npm,cli,5400,https://github.com/npm/cli
release-it,release-it,4900,https://github.com/release-it/release-it
mysticatea,npm-run-all,4600,https://github.com/mysticatea/npm-run-all
jsdelivr,jsdelivr,4200,https://github.com/jsdelivr/jsdelivr
rustwasm,wasm-pack,4000,https://github.com/rustwasm/wasm-pack
sindresorhus,awesome-npm,3900,https://github.com/sindresorhus/awesome-npm
vuejs,eslint-plugin-vue,3600,https://github.com/vuejs/eslint-plugin-vue
cnpm,cnpmjs.org,3600,https://github.com/cnpm/cnpmjs.org
vercel,release,3400,https://github.com/vercel/release
wclr,yalc,3300,https://github.com/wclr/yalc
felixrieseberg,windows-build-tools,3300,https://github.com/felixrieseberg/windows-build-tools
apify,apify-js,3200,https://github.com/apify/apify-js
matteobruni,tsparticles,2900,https://github.com/matteobruni/tsparticles
feross,thanks,2800,https://github.com/feross/thanks
zkat,npx,2600,https://github.com/zkat/npx
felixrieseberg,npm-windows-upgrade,2500,https://github.com/felixrieseberg/npm-windows-upgrade
nas5w,100-days-of-code-frontend,2400,https://github.com/nas5w/100-days-of-code-frontend
