username,repo_name,stars,repo_url
Avik-Jain,100-Days-Of-ML-Code,34400,https://github.com/Avik-Jain/100-Days-Of-ML-Code
apachecn,AiLearning,32600,https://github.com/apachecn/AiLearning
jakevdp,PythonDataScienceHandbook,32400,https://github.com/jakevdp/PythonDataScienceHandbook
microsoft,ML-For-Beginners,28900,https://github.com/microsoft/ML-For-Beginners
ageron,handson-ml,24000,https://github.com/ageron/handson-ml
donnemartin,data-science-ipython-notebooks,22400,https://github.com/donnemartin/data-science-ipython-notebooks
virgili0,Virgilio,13200,https://github.com/virgili0/Virgilio
onnx,onnx,12000,https://github.com/onnx/onnx
rasbt,python-machine-learning-book,11500,https://github.com/rasbt/python-machine-learning-book
hangtwenty,dive-into-machine-learning,10900,https://github.com/hangtwenty/dive-into-machine-learning
dask,dask,9500,https://github.com/dask/dask
EpistasisLab,tpot,8400,https://github.com/EpistasisLab/tpot
Yorko,mlcourse.ai,8000,https://github.com/Yorko/mlcourse.ai
rasbt,python-machine-learning-book-2nd-edition,6400,https://github.com/rasbt/python-machine-learning-book-2nd-edition
ml-tooling,best-of-ml-python,6200,https://github.com/ml-tooling/best-of-ml-python
microsoft,onnxruntime,6200,https://github.com/microsoft/onnxruntime
ljpzzz,machinelearning,6100,https://github.com/ljpzzz/machinelearning
automl,auto-sklearn,6000,https://github.com/automl/auto-sklearn
alteryx,featuretools,6000,https://github.com/alteryx/featuretools
alan-turing-institute,sktime,4900,https://github.com/alan-turing-institute/sktime
apachecn,sklearn-doc-zh,4500,https://github.com/apachecn/sklearn-doc-zh
interpretml,interpret,4500,https://github.com/interpretml/interpret
skorch-dev,skorch,4300,https://github.com/skorch-dev/skorch
PipelineAI,pipeline,4100,https://github.com/PipelineAI/pipeline
awslabs,autogluon,4100,https://github.com/awslabs/autogluon
DistrictDataLabs,yellowbrick,3500,https://github.com/DistrictDataLabs/yellowbrick
justmarkham,scikit-learn-videos,3300,https://github.com/justmarkham/scikit-learn-videos
biolab,orange3,3300,https://github.com/biolab/orange3
TarrySingh,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3000,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
rasbt,python-machine-learning-book-3rd-edition,3000,https://github.com/rasbt/python-machine-learning-book-3rd-edition
