username,repo_name,stars,repo_url
public-apis,public-apis,173000,https://github.com/public-apis/public-apis
httpie,httpie,53200,https://github.com/httpie/httpie
neovim,neovim,49900,https://github.com/neovim/neovim
strapi,strapi,42200,https://github.com/strapi/strapi
tiangolo,fastapi,40300,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,35400,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,33500,https://github.com/slatedocs/slate
hasura,graphql-engine,25000,https://github.com/hasura/graphql-engine
YMFE,yapi,23400,https://github.com/YMFE/yapi
ccxt,ccxt,22800,https://github.com/ccxt/ccxt
encode,django-rest-framework,22500,https://github.com/encode/django-rest-framework
Binaryify,NeteaseCloudMusicApi,22500,https://github.com/Binaryify/NeteaseCloudMusicApi
littlecodersh,ItChat,22000,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20800,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20000,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,19100,https://github.com/Kong/insomnia
microsoft,api-guidelines,18300,https://github.com/microsoft/api-guidelines
pubkey,rxdb,16800,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,16400,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13600,https://github.com/learn-anything/learn-anything
directus,directus,13400,https://github.com/directus/directus
youfou,wxpy,13100,https://github.com/youfou/wxpy
ChainSafe,web3.js,12900,https://github.com/ChainSafe/web3.js
jsdoc,jsdoc,12600,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12400,https://github.com/BrainJS/brain.js
fangzesheng,free-api,11600,https://github.com/fangzesheng/free-api
graphile,postgraphile,11000,https://github.com/graphile/postgraphile
micro,micro,10800,https://github.com/micro/micro
OpenAPITools,openapi-generator,10800,https://github.com/OpenAPITools/openapi-generator
go-chi,chi,10700,https://github.com/go-chi/chi
