username,repo_name,stars,repo_url
amphp,amp,3500,https://github.com/amphp/amp
danog,MadelineProto,1800,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,684,https://github.com/unreal4u/telegram-api
amphp,http-client,592,https://github.com/amphp/http-client
amphp,parallel,540,https://github.com/amphp/parallel
php-service-bus,service-bus,312,https://github.com/php-service-bus/service-bus
amphp,byte-stream,264,https://github.com/amphp/byte-stream
amphp,mysql,259,https://github.com/amphp/mysql
amphp,parallel-functions,203,https://github.com/amphp/parallel-functions
amphp,process,152,https://github.com/amphp/process
amphp,socket,145,https://github.com/amphp/socket
amphp,redis,119,https://github.com/amphp/redis
kelunik,acme,106,https://github.com/kelunik/acme
amphp,dns,105,https://github.com/amphp/dns
amphp,websocket-client,94,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,sync,91,https://github.com/amphp/sync
amphp,websocket-server,70,https://github.com/amphp/websocket-server
jolicode,asynit,68,https://github.com/jolicode/asynit
amphp,file,62,https://github.com/amphp/file
amphp,cache,60,https://github.com/amphp/cache
amphp,postgres,60,https://github.com/amphp/postgres
amphp,serialization,58,https://github.com/amphp/serialization
amphp,windows-registry,57,https://github.com/amphp/windows-registry
amphp,beanstalk,55,https://github.com/amphp/beanstalk
amphp,hpack,54,https://github.com/amphp/hpack
phpinnacle,ridge,44,https://github.com/phpinnacle/ridge
amphp,aerys,42,https://github.com/amphp/aerys
amphp,cluster,40,https://github.com/amphp/cluster
