username,repo_name,stars,repo_url
ansible,ansible,51300,https://github.com/ansible/ansible
trailofbits,algo,24400,https://github.com/trailofbits/algo
StreisandEffect,streisand,22600,https://github.com/StreisandEffect/streisand
bregman-arie,devops-exercises,20200,https://github.com/bregman-arie/devops-exercises
kubernetes-sigs,kubespray,11700,https://github.com/kubernetes-sigs/kubespray
ansible,awx,10500,https://github.com/ansible/awx
easzlab,kubeasz,7700,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,5300,https://github.com/geerlingguy/ansible-for-devops
ansible-semaphore,semaphore,4600,https://github.com/ansible-semaphore/semaphore
rundeck,rundeck,4400,https://github.com/rundeck/rundeck
geerlingguy,mac-dev-playbook,4300,https://github.com/geerlingguy/mac-dev-playbook
KubeOperator,KubeOperator,4200,https://github.com/KubeOperator/KubeOperator
Tikam02,DevOps-Guide,4200,https://github.com/Tikam02/DevOps-Guide
ansible-community,molecule,3300,https://github.com/ansible-community/molecule
clong,DetectionLab,3300,https://github.com/clong/DetectionLab
opendevops-cn,opendevops,3000,https://github.com/opendevops-cn/opendevops
werf,werf,2900,https://github.com/werf/werf
welliamcao,OpsManage,2900,https://github.com/welliamcao/OpsManage
netbootxyz,netboot.xyz,2800,https://github.com/netbootxyz/netboot.xyz
ansible-community,ansible-lint,2700,https://github.com/ansible-community/ansible-lint
dev-sec,ansible-collection-hardening,2600,https://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2500,https://github.com/alixaxel/chrome-aws-lambda
litmuschaos,litmus,2400,https://github.com/litmuschaos/litmus
roots,trellis,2300,https://github.com/roots/trellis
ansistrano,deploy,2100,https://github.com/ansistrano/deploy
openshift,openshift-ansible,2000,https://github.com/openshift/openshift-ansible
fboender,ansible-cmdb,2000,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2000,https://github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,2000,https://github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,2000,https://github.com/Artemmkin/infrastructure-as-code-tutorial
