username,repo_name,stars,repo_url
sindresorhus,awesome,184000,https://github.com/sindresorhus/awesome
vinta,awesome-python,112000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,73700,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,73400,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,57000,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,51800,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,50700,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,48300,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,47000,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,44600,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,43400,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,41900,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,38900,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,38900,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,38800,https://github.com/vsouza/awesome-ios
MunGell,awesome-for-beginners,37700,https://github.com/MunGell/awesome-for-beginners
binhnguyennus,awesome-scalability,36900,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,35400,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,33700,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,33000,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,31000,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,29100,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,29000,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,28700,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26100,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,23800,https://github.com/goabstract/Awesome-Design-Tools
rust-unofficial,awesome-rust,23600,https://github.com/rust-unofficial/awesome-rust
alebcay,awesome-shell,22700,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22300,https://github.com/sindresorhus/awesome-electron
