username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,101000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,54400,https://github.com/nvm-sh/nvm
junegunn,fzf,41300,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,28200,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,27400,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,27300,https://github.com/mathiasbynens/dotfiles
LeCoupa,awesome-cheatsheets,26200,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,24900,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,22700,https://github.com/alebcay/awesome-shell
starship,starship,21200,https://github.com/starship/starship
jaywcjlove,linux-command,17600,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,14300,https://github.com/Nyr/openvpn-install
dylanaraps,neofetch,14000,https://github.com/dylanaraps/neofetch
rbenv,rbenv,13900,https://github.com/rbenv/rbenv
powerline,powerline,13000,https://github.com/powerline/powerline
shelljs,shelljs,12900,https://github.com/shelljs/shelljs
Bash-it,bash-it,12700,https://github.com/Bash-it/bash-it
jessfraz,dockerfiles,12300,https://github.com/jessfraz/dockerfiles
faressoft,terminalizer,12200,https://github.com/faressoft/terminalizer
denisidoro,navi,10100,https://github.com/denisidoro/navi
codota,TabNine,8900,https://github.com/codota/TabNine
rgcr,m-cli,8700,https://github.com/rgcr/m-cli
withfig,autocomplete,8600,https://github.com/withfig/autocomplete
alexanderepstein,Bash-Snippets,8600,https://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8300,https://github.com/kanaka/mal
direnv,direnv,8300,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,8000,https://github.com/skywind3000/awesome-cheatsheets
carlospolop,PEASS-ng,7300,https://github.com/carlospolop/PEASS-ng
angristan,openvpn-install,7200,https://github.com/angristan/openvpn-install
extrawurst,gitui,7000,https://github.com/extrawurst/gitui
